round,name,type,other
1,language,respondent,0
2,q83,respondent,0
2,q97,interview,0
2,q110,interviewer,0
3,q3,respondent,0
3,q103,interview,0
3,q114,interviewer,0
4,Q3,respondent,0
4,Q103,interview,0
4,Q114,interviewer,0
5,Q2,respondent,0
5,Q103,interview,0
5,Q116,interviewer,0
6,Q2,respondent,0
6,Q103,interview,0
6,Q116,interviewer,0
4,Q3OTHER,respondent,1
5,Q2OTHER,respondent,1
5,Q103OTHER,interview,1
5,Q116OTHER,interviewer,1
6,Q2OTHER,respondent,1
6,Q103OTHER,interview,1
6,Q116OTHER,interviewer,1
