iso_alpha2,glottocode
BF,haus1257
BF,humb1243
BF,zarm1239
BI,rund1242
BI,swah1253
BJ,haus1257
BW,afri1274
BW,lozi1239
BW,mbuk1240
BW,nama1264
BW,nyan1308
BW,shon1251
BW,sout2807
BW,stan1295
BW,subi1246
BW,swah1253
BW,zulu1248
CI,bamb1269
CI,fonn1241
CM,bata1285
CM,fula1264
DZ,stan1318
EG,stan1318
GH,anyi1245
GH,grus1239
GH,haus1257
GN,mann1248
KE,garr1259
KE,guja1252
KE,oman1239
KE,soma1255
KE,swah1253
LR,many1261
LR,nucl1418
LS,sout2808
LS,swat1243
LS,xhos1239
MA,berb1260
MA,hass1238
MA,stan1318
MG,guja1252
MG,mala1537
ML,haus1257
ML,tuar1240
ML,west2499
ML,xaas1235
MU,bhoj1244
MW,lala1264
MW,nyam1275
MW,nyik1246
MW,swah1253
MZ,swah1253
NA,afri1274
NA,cent2260
NA,nort2795
NA,nyun1248
NA,pedi1238
NA,shon1251
NA,stan1295
NA,umbu1257
NA,vend1245
NE,cent2050
NE,gour1243
NE,hass1238
NE,haus1257
NG,cent2050
NG,chad1249
NG,kanu1281
NG,nort2775
SD,stan1318
SL,klao1243
SL,krio1253
SL,pula1262
SL,susu1250
SN,hass1238
SN,pula1262
SZ,tson1249
SZ,zulu1248
TG,borg1235
TG,gour1243
TG,haus1257
TG,yoru1245
TN,stan1318
TZ,luok1236
TZ,makh1261
TZ,ngon1269
TZ,yaoo1241
UG,kiny1244
UG,swah1253
ZA,afri1274
ZA,hind1269
ZM,chok1245
ZM,cong1236
ZM,mala1475
ZM,mbun1249
ZM,nama1264
ZM,nort2795
ZM,swat1243
ZM,taab1238
ZW,nama1264
ZW,ndau1241
ZW,nsen1242
ZW,nyan1308
ZW,swat1243
ZW,tson1249
ZW,tswa1253
ZW,tswa1254
ZW,xhos1239
