round,variable,iso_alpha2,lang_name
1,language,GH,Zabagle
1,language,GH,Wangara
1,language,GH,Nsahas
1,language,NG,Knale
1,language,NG,Ikpon
1,language,NG,Ikan
1,language,NG,Anam
1,language,NG,Annag
1,language,NG,Omoku
1,language,NG,Ora
1,language,NG,Auche
1,language,NG,Okirika
1,language,NG,Esako
1,language,NG,Owan
1,language,NG,Nkwana
1,language,NG,Kiiba
1,language,NG,Madara
1,language,NG,Cabarmawa
1,language,NG,Gyerawa
1,language,NG,Eterco
1,language,NG,Lantan
1,language,NG,Nanba/Wanba
1,language,NG,Ndochi
1,language,BW,Other
1,language,GH,Other
1,language,LS,Other
1,language,MW,Other
1,language,NG,Other
1,language,ZA,Other
1,language,TZ,Other
1,language,UG,Other
1,language,ZM,Other
1,language,ZW,Other
1,language,MW,Refused to answer
1,language,BW,Missing data
1,language,GH,Missing data
1,language,LS,Missing data
1,language,MW,Missing data
1,language,NA,Missing data
1,language,UG,Missing data
1,language,ZM,Missing data
1,language,ZW,Missing data
2,q110,SN,Missing
2,q110,GH,Other
2,q110,NG,Other
2,q83,MW,Missing
2,q83,NA,Missing
2,q83,UG,Missing
2,q83,ZW,Missing
2,q83,KE,Missing
2,q83,MZ,Missing
2,q83,SN,Missing
2,q83,UG,Other Western languages
2,q83,UG,Other Eastern languages
2,q83,UG,Other Northern languages
2,q83,BW,Other
2,q83,GH,Other
2,q83,NG,Other
2,q83,ZA,Other
2,q83,TZ,Other
2,q83,UG,Other
2,q83,ZM,Other
2,q83,KE,Other
2,q83,MZ,Other
2,q83,SN,Other
2,q97,MW,Missing
2,q97,NA,Missing
2,q97,KE,Missing
2,q97,MZ,Missing
2,q97,SN,Missing
2,q97,GH,Other
2,q97,NG,Other
2,q97,ZM,Other
2,q97,KE,Other
2,q97,MZ,Other
2,q97,SN,Other
3,q103,BJ,Missing
3,q103,KE,Missing
3,q103,LS,Missing
3,q103,MZ,Missing
3,q103,SN,Missing
3,q103,GH,OTHER
3,q103,NA,More than one local language
3,q103,MG,Other
3,q103,ZA,Other
3,q103,UG,Other
3,q103,ZW,Other
3,q114,GH,OTHER
3,q114,NG,Other
3,q3,KE,Missing
3,q3,LS,Missing
3,q3,MZ,Missing
3,q3,SN,Missing
3,q3,GH,Other Northern Languages
3,q3,KE,Other
3,q3,MG,Other
3,q3,MW,Other
3,q3,ML,Other
3,q3,MZ,Other
3,q3,NG,Other
3,q3,ZA,Other
3,q3,TZ,Other
3,q3,UG,Other
3,q3,ZW,Other
4,Q103,BJ,Missing
4,Q103,BF,Missing
4,Q103,KE,Missing
4,Q103,MZ,Missing
4,Q103,SN,Missing
4,Q103,ZM,Missing
4,Q103,GH,Others
4,Q114,NG,Others
4,Q3,BF,Missing
4,Q3,KE,Missing
4,Q3,MZ,Missing
4,Q3,SN,Missing
4,Q3,BJ,Others
4,Q3,BW,Others
4,Q3,BF,Others
4,Q3,GH,Others
