round,question,lang_id,lang_name,iso_alpha2,iso_639_3
5,Q2,267,Moshie,GH,mos
6,Q116,266,Moshie,GH,mos
6,Q2,266,Moshie,GH,mos
5,Q2,16,Haoussa,TG,hau
6,Q2,19,Haoussa,TG,hau
4,Q3,477,Wiza,MW,leb
3,q3,330,Angolan:Rumbundu,NA,umb
4,Q3,594,Uumbundu,NA,umb
3,q3,243,comorien,MG,zdj
3,q3,243,comorien,MG,wni
3,q3,243,comorien,MG,swb
3,q3,4,Kiswahili,MW,swh
5,Q2,4,Kiswahili,MW,swh
2,q83,161,Haoussa,ML,hau
4,Q3,518,Haoussa,ML,hau
5,Q2,39,Yoruba,TG,yor
4,Q3,476,Namwanga,MW,mwn
2,q83,4,Kiswahili,BW,swh
3,q3,820,Gare,KE,gex
6,Q2,314,Garre,KE,gex
1,language,24,Sepedi/N.Sotho,NA,nso
1,language,23,Zulu,BW,zul
1,language,22,Xhosa,ZW,xho
1,language,21,Venda,NA,ven
1,language,20,Swazi,ZW,ssw
1,language,20,Swazi,ZM,ssw
1,language,18,Shona,NA,sna
1,language,14,"Sesotho,Sotho, S.Sotho",BW,sot
3,q3,243,comorien,MG,wlc
1,language,9,Ndebele,ZM,nde
5,Q2,30,Ndebele,ZM,nde
1,language,9,Ndebele,NA,nde
3,q3,338,Ndebele,NA,nde
1,language,9,Ndebele,LS,nbl
1,language,5,Damara,ZW,naq
1,language,8,Nama,ZW,naq
1,language,5,Damara,ZM,naq
1,language,4,Chisena,ZM,swk
1,language,3,Chinyungwe,NA,nyu
1,language,3,Chinyungwe,MW,nyu
3,q3,244,pakistanais,MG,guj
5,Q116,1282,DAHOMEY,CI,fon
