wals_code,iso_code,glottocode,macroarea
aci,acr,achi1256,North America
akm,rmz,marm1234,Eurasia
akn,twi,akan1250,Africa
bem,bem,bemb1257,Africa
bfg,grr,tazn1238,Africa
cak,cak,kaqc1270,North America
dan,dnj,dann1241,Africa
dbw,dnj,dann1241,Africa
gam,gmv,gamo1243,Africa
gla,gqu,qaua1234,Eurasia
grr,wrk,gara1269,Australia
htc,hus,huas1242,North America
ish,isk,sang1236,Eurasia
itb,egl,emil1241,Eurasia
ixi,ixl,ixil1251,North America
izi,izz,izie1238,Africa
jar,jjr,jara1263,Africa
jel,jek,jeri1242,Africa
kul,dwr,gamo1244,Africa
kyq,nuk,nuuc1236,North America
lng,enx,leng1262,South America
mdb,dmw,mudb1240,Australia
mhc,xpq,mohe1244,North America
nax,nxq,naxi1245,Eurasia
nbd,dgl,kenu1236,Africa
nbk,ntu,natu1246,Papunesia
nis,njz,nyis1236,Eurasia
nit,dtd,diti1235,North America
nku,xnz,kenu1236,Africa
nlr,nrk,ngar1286,Australia
pkm,poh,poqo1254,North America
ptw,pwu,patw1250,North America
sum,yan,maya1285,North America
tga,hrc,tang1348,Papunesia
tnn,tvu,tune1261,Africa
tzo,tzo,tzot1259,North America
tzu,tzj,tzut1248,North America
vla,vgt,vlaa1235,Eurasia
wan,xwk,ngur1261,Australia
win,wnw,wint1259,North America
wir,wgu,wira1265,Australia
wor,wro,woro1255,Australia
yir,yyr,yiry1247,Australia
yug,yug,yugh1239,Eurasia
wem,,,Australia
wdo,,,Australia
tup,,,South America
tsm,,,Australia
toy,,,Australia
rse,,,Eurasia
rcp,,,Eurasia
nmp,,,North America
nhu,,,North America
mxx,,,North America
mkh,,,Eurasia
mdm,,,Australia
lgh,,,Eurasia
kua,,,Eurasia
kfc,,,Australia
keu,,,Eurasia
jua,,,Australia
joh,,,Eurasia
tms,,,Africa
bah,,,South America
ayo,,,South America
aab,,,Eurasia
