round,name,type,other
1,language,respondent,FALSE
2,q83,resondent,FALSE
2,q97,interview,FALSE
2,q110,interviewer,FALSE
3,q3,respondent,FALSE
3,q103,interview,FALSE
3,q114,interviewer,FALSE
4,Q3,respondent,FALSE
4,Q103,interview,FALSE
4,Q114,interviewer,FALSE
5,Q2,respondent,FALSE
5,Q103,interview,FALSE
5,Q116,interviewer,FALSE
6,Q2,respondent,FALSE
6,Q103,interview,FALSE
6,Q116,interviewer,FALSE
4,Q3OTHER,respondent,TRUE
5,Q2OTHER,respondent,TRUE
5,Q103OTHER,interview,TRUE
5,Q116OTHER,interviewer,TRUE
6,Q2OTHER,respondent,TRUE
6,Q103OTHER,interview,TRUE
6,Q116OTHER,interviewer,TRUE
