round,variable,value,name,country,iso_alpha2,n_resp,prop
1,language,1,Afrikaans,1,BW,1,8.333333333333334e-4
1,language,1,Afrikaans,6,NA,129,0.10904480135249366
1,language,1,Afrikaans,8,ZA,383,0.1432667173761402
1,language,2,Chewa,1,BW,2,0.0016666666666666668
1,language,2,Chewa,4,MW,843,0.6978476821192053
1,language,2,Chewa,12,ZW,11,0.009166666666666667
1,language,3,Chinyungwe,4,MW,2,0.0016556291390728477
1,language,3,Chinyungwe,6,NA,1,8.453085376162299e-4
1,language,4,Chisena,4,MW,44,0.03642384105960265
1,language,4,Chisena,11,ZM,2,0.001669449081803005
1,language,5,Damara,1,BW,4,0.0033333333333333335
1,language,5,Damara,6,NA,80,0.0676246830092984
1,language,5,Damara,11,ZM,1,8.347245409015025e-4
1,language,5,Damara,12,ZW,1,8.333333333333334e-4
1,language,6,English,1,BW,16,0.013333333333333334
1,language,6,English,3,LS,3,0.002548853016142736
1,language,6,English,4,MW,12,0.009933774834437087
1,language,6,English,6,NA,37,0.03127641589180051
1,language,6,English,8,ZA,257,0.09990893567651465
1,language,6,English,11,ZM,39,0.0325542570951586
1,language,6,English,12,ZW,19,0.015833333333333335
1,language,7,German,1,BW,1,8.333333333333334e-4
1,language,7,German,6,NA,8,0.006762468300929839
1,language,8,Nama,6,NA,75,0.06339814032121724
1,language,8,Nama,12,ZW,2,0.0016666666666666668
1,language,9,Ndebele,1,BW,1,8.333333333333334e-4
1,language,9,Ndebele,3,LS,2,0.0016992353440951572
1,language,9,Ndebele,6,NA,1,8.453085376162299e-4
1,language,9,Ndebele,8,ZA,19,0.009194478467428437
1,language,9,Ndebele,11,ZM,1,8.347245409015025e-4
1,language,9,Ndebele,12,ZW,182,0.15166666666666667
1,language,10,Oshiwambo,6,NA,569,0.4809805579036348
1,language,11,Otjiherero,1,BW,1,8.333333333333334e-4
1,language,11,Otjiherero,6,NA,92,0.07776838546069316
1,language,12,Portueguese,6,NA,1,8.453085376162299e-4
1,language,13,Rukwangali,6,NA,54,0.04564666103127642
1,language,14,"Sesotho,Sotho, S.Sotho",1,BW,2,0.0016666666666666668
1,language,14,"Sesotho,Sotho, S.Sotho",3,LS,1162,0.9872557349192863
1,language,14,"Sesotho,Sotho, S.Sotho",8,ZA,188,0.08692542861914321
1,language,15,Setswana/Tswana,1,BW,1154,0.9616666666666667
1,language,15,Setswana/Tswana,6,NA,4,0.0033812341504649195
1,language,15,Setswana/Tswana,8,ZA,213,0.09543881103830146
1,language,16,Silozi,1,BW,4,0.0033333333333333335
1,language,16,Silozi,6,NA,59,0.049873203719357564
1,language,16,Silozi,11,ZM,113,0.09432387312186978
1,language,17,Shangaan/Tsonga/Ronga/Tswa,8,ZA,45,0.023236266237281606
1,language,17,Shangaan/Tsonga/Ronga/Tswa,12,ZW,10,0.008333333333333333
1,language,18,Shona,1,BW,2,0.0016666666666666668
1,language,18,Shona,6,NA,1,8.453085376162299e-4
1,language,18,Shona,11,ZM,3,0.0025041736227045075
1,language,18,Shona,12,ZW,933,0.7775
1,language,20,Swazi,8,ZA,36,0.017799088847670393
1,language,20,Swazi,11,ZM,1,8.347245409015025e-4
1,language,20,Swazi,12,ZW,2,0.0016666666666666668
1,language,21,Venda,6,NA,1,8.453085376162299e-4
1,language,21,Venda,8,ZA,36,0.017836998224622966
1,language,21,Venda,12,ZW,4,0.0033333333333333335
1,language,22,Xhosa,3,LS,8,0.006796941376380629
1,language,22,Xhosa,8,ZA,366,0.1729086683108609
1,language,22,Xhosa,12,ZW,1,8.333333333333334e-4
1,language,23,Zulu,1,BW,1,8.333333333333334e-4
1,language,23,Zulu,8,ZA,494,0.2542092817609442
1,language,24,Sepedi/N.Sotho,6,NA,27,0.02282333051563821
1,language,24,Sepedi/N.Sotho,8,ZA,160,0.07796408827448426
1,language,26,Bemba,11,ZM,383,0.31969949916527546
1,language,27,Kaonde,11,ZM,28,0.02337228714524207
1,language,29,Luvale,11,ZM,38,0.03171953255425709
1,language,30,Nyanja,4,MW,43,0.03559602649006623
1,language,30,Nyanja,11,ZM,223,0.18614357262103506
1,language,31,Tonga,4,MW,30,0.024834437086092714
1,language,31,Tonga,11,ZM,125,0.10434056761268781
1,language,32,Ngoni,4,MW,12,0.009933774834437087
1,language,33,Lomwe,4,MW,17,0.014072847682119206
1,language,34,Tumbuka,4,MW,114,0.09437086092715231
1,language,35,Yao,4,MW,62,0.05132450331125828
1,language,37,Nkhonde,4,MW,2,0.0016556291390728477
1,language,38,Lambya,4,MW,10,0.008278145695364239
1,language,41,Akan,2,GH,1196,0.5965907928758756
1,language,42,Dangaare,2,GH,28,0.014107666051554668
1,language,43,Dagbane,2,GH,48,0.023824739475373818
1,language,44,Ewe,2,GH,234,0.11462634565103844
1,language,45,Ga,2,GH,117,0.0590462621095498
1,language,46,Hausa,2,GH,40,0.0201974245115896
1,language,47,Frafra,2,GH,45,0.02274118451713708
1,language,48,Nzema,2,GH,14,0.00693934137618464
1,language,50,Dangbe,2,GH,28,0.01403133828515954
1,language,51,Wassa,2,GH,16,0.008170563124309995
1,language,52,Ahanta,2,GH,13,0.0064000582685170915
1,language,53,Guan,2,GH,10,0.0048585367119095765
1,language,54,Kasem,2,GH,23,0.011792889345192573
1,language,55,Kusasi,2,GH,3,0.0015415215566075152
1,language,56,Moar,2,GH,11,0.005168836520391736
1,language,57,Bimoba,2,GH,8,0.004008953795759868
1,language,58,Konkomba,2,GH,20,0.010556678854165575
1,language,59,Chekosi,2,GH,1,4.6295534127241883e-4
1,language,60,Chumburu,2,GH,2,0.001002238448939967
1,language,61,Noingo,2,GH,1,5.392831076675482e-4
1,language,62,Krobo,2,GH,14,0.00701566914257977
1,language,63,Ada,2,GH,1,4.6295534127241883e-4
1,language,64,Waale,2,GH,12,0.006013430693639802
1,language,65,Nabi,2,GH,1,4.6295534127241883e-4
1,language,66,Mamprulni,2,GH,15,0.007554952250247317
1,language,67,Zabagle,2,GH,2,0.001002238448939967
1,language,68,Gonja,2,GH,17,0.008557190699187284
1,language,69,Efutu,2,GH,10,0.005240175543885223
1,language,70,Senya,2,GH,3,0.0015415215566075152
1,language,71,Grusi,2,GH,1,5.392831076675482e-4
1,language,72,Wangara,2,GH,2,0.001002238448939967
1,language,73,Dagomba,2,GH,2,0.001002238448939967
1,language,74,Buam/Lelemi,2,GH,17,0.008175551867211639
1,language,75,Nsahas,2,GH,1,4.6295534127241883e-4
1,language,76,Brong,2,GH,3,0.0016178493230026446
1,language,77,Basari,2,GH,1,4.6295534127241883e-4
1,language,78,Kanjaga,2,GH,1,4.6295534127241883e-4
1,language,80,Sefwi/Sehwi,2,GH,18,0.009096473806854834
1,language,81,Nchunmuru,2,GH,1,4.6295534127241883e-4
1,language,82,Nafaana,2,GH,9,0.004548236903427417
1,language,83,Nkona,2,GH,2,0.0010785662153350963
1,language,84,Bambara,5,ML,1011,0.5066762790518382
1,language,85,Fulfulde/Peul,5,ML,160,0.08005197914518537
1,language,86,Senufo,5,ML,75,0.037707567026711054
1,language,87,Soninke,5,ML,125,0.06546615984577359
1,language,88,Malinke,5,ML,91,0.04725322900301239
1,language,89,Sonrhai,5,ML,164,0.08385047188456846
1,language,90,Dogon,5,ML,127,0.061843933697343874
1,language,91,Tamasheq,5,ML,125,0.013402622303623997
1,language,92,Bobo,5,ML,63,0.03176131052463279
1,language,93,Bozo,5,ML,25,0.012265644967698866
1,language,94,Khasonke,5,ML,15,0.007902139559448865
1,language,95,Arabe,5,ML,8,0.0012733737138777247
1,language,96,Maure,5,ML,9,0.004710964549930547
1,language,98,Samoko,5,ML,6,0.0030134806875421363
1,language,99,Bella,5,ML,1,4.8607857369136934e-4
1,language,100,Mianka,5,ML,73,0.036836422866591084
1,language,101,Dafing,5,ML,7,0.0034754327429987906
1,language,102,Mossi,5,ML,4,0.0020229098555309055
1,language,103,Hausa,7,NG,1136,0.31529281154593397
1,language,104,Yoruba,7,NG,919,0.25506522342492366
1,language,105,Ibo,7,NG,601,0.16680543991118513
1,language,106,Tiv,7,NG,81,0.022481265611990008
1,language,107,Ijaw,7,NG,53,0.014709963918956424
1,language,108,Nupe,7,NG,15,0.004163197335553705
1,language,109,Kanuri,7,NG,122,0.03386067166250347
1,language,110,Ibibio-Efik,7,NG,79,0.02192617263391618
1,language,111,Edo,7,NG,128,0.035525950596724955
1,language,113,Irobo/Urhobo,7,NG,64,0.017762975298362477
1,language,114,Idoma,7,NG,14,0.0038856508465167916
1,language,115,Calabar,7,NG,3,8.326394671107411e-4
1,language,116,Ogoja,7,NG,5,0.0013877324451845685
