round,variable,country,lang_name,iso_alpha2,n_resp,prop
4,Q3OTHER,14,abi,NG,2,0.00546342674187524
4,Q3OTHER,14,abua,NG,9,0.019304114243032
4,Q3OTHER,14,adun,NG,1,0.0027291675057270546
4,Q3OTHER,14,afikpo,NG,1,0.0027342592361481845
4,Q3OTHER,14,ahuda,NG,1,0.002652791549410066
4,Q3OTHER,14,aka,NG,1,0.002058959989074962
4,Q3OTHER,18,akumu,UG,1,0.010999972275311343
4,Q3OTHER,14,akwandara,NG,1,0.004092647332180855
4,Q3OTHER,14,andoni,NG,12,0.019309725090908975
4,Q3OTHER,14,angas,NG,5,0.016931756102403127
4,Q3OTHER,14,ankwai,NG,1,0.0033863512204806256
4,Q3OTHER,6,arabic,KE,4,0.09144534444061754
4,Q3OTHER,14,arago,NG,1,0.001193679737581909
4,Q3OTHER,18,aringa,UG,1,0.016469371346022846
4,Q3OTHER,16,asian,ZA,1,0.020576195718788905
4,Q3OTHER,16,asian/indian,ZA,3,0.8998170446484482
4,Q3OTHER,5,assin,GH,1,0.0056487629226209726
4,Q3OTHER,14,awak,NG,1,0.004875419799236285
4,Q3OTHER,14,awori,NG,2,0.004515136757492989
4,Q3OTHER,14,azoqo,NG,1,0.001193679737581909
4,Q3OTHER,14,babur,NG,16,0.06628975039231973
4,Q3OTHER,14,bachama,NG,1,0.0032991034752117305
4,Q3OTHER,14,bada,NG,3,0.009471959146827113
4,Q3OTHER,6,bajun,KE,1,0.0194120826210819
4,Q3OTHER,15,balante,SN,1,0.44812813025524284
4,Q3OTHER,14,balawa,NG,1,0.00502400402168921
4,Q3OTHER,5,banda,GH,3,0.015099107728677995
4,Q3OTHER,5,basare,GH,8,0.041195245255943924
4,Q3OTHER,14,bassa,NG,2,0.006206707306792542
4,Q3OTHER,5,basseli,GH,1,0.0031021650753092597
4,Q3OTHER,14,bazanfara,NG,1,0.004092647332180855
4,Q3OTHER,14,bekwaira,NG,1,0.0038991415481533748
4,Q3OTHER,3,bella,BF,4,0.21966759638736721
4,Q3OTHER,5,bemuba,GH,1,0.0037375910710815436
4,Q3OTHER,14,betem,NG,1,0.0027342592361481845
4,Q3OTHER,14,bette,NG,1,0.0022945553956308677
4,Q3OTHER,5,bimoba,GH,1,0.0037375910710815436
4,Q3OTHER,14,birom,NG,1,0.00303173779985636
4,Q3OTHER,14,bisa,NG,5,0.024333352341453552
4,Q3OTHER,5,bisab,GH,1,0.003813868439879126
4,Q3OTHER,6,borana,KE,3,0.062230279849927704
4,Q3OTHER,14,brass,NG,1,0.002307446156280479
4,Q3OTHER,5,brefo,GH,8,0.03621863844650103
4,Q3OTHER,5,brosa,GH,5,0.015185214320154378
4,Q3OTHER,20,budya,ZW,6,0.03641644404174356
4,Q3OTHER,5,builsa,GH,2,0.005936183086926896
4,Q3OTHER,5,bule,GH,6,0.017808549260780685
4,Q3OTHER,5,busanga,GH,3,0.014590346023442223
4,Q3OTHER,5,buzanga,GH,1,0.0026828435493816303
4,Q3OTHER,19,bwile,ZM,3,0.02251024713422073
4,Q3OTHER,14,calabar,NG,1,0.002479672715091558
4,Q3OTHER,20,changani,ZW,1,0.013842059649151445
4,Q3OTHER,12,cheua,MZ,5,0.0111312355817179
4,Q3OTHER,12,chewa,MZ,3,0.015612487523780874
4,Q3OTHER,20,chewa,ZW,3,0.02109289953770359
4,Q3OTHER,12,chewe,MZ,1,0.0014887385544344945
4,Q3OTHER,14,chibok,NG,2,0.008183693572491218
4,Q3OTHER,16,chichewa,ZA,1,0.005242404757255993
4,Q3OTHER,20,chikaranga,ZW,1,0.007945995693168024
4,Q3OTHER,12,chimanica,MZ,2,0.00918267117772962
4,Q3OTHER,12,chiteue,MZ,1,0.005366678967711691
4,Q3OTHER,12,chiute,MZ,4,0.019916029113153003
4,Q3OTHER,19,chokwe,ZM,4,0.04746692821870834
4,Q3OTHER,12,chona,MZ,2,0.015431569042210734
4,Q3OTHER,12,chuabo,MZ,1,0.005749079078023767
4,Q3OTHER,12,coti,MZ,6,0.017064623599334274
4,Q3OTHER,14,cross river yala,NG,1,0.004403431854226512
4,Q3OTHER,5,dagaari,GH,17,0.08013325172819043
4,Q3OTHER,5,dagate,GH,10,0.04717538266156146
4,Q3OTHER,5,dagomba,GH,2,0.007704568737509647
4,Q3OTHER,14,diemak,NG,2,0.002387359475163818
4,Q3OTHER,6,digo,KE,3,0.03618285900115607
4,Q3OTHER,3,dogon,BF,2,0.09108774111031263
4,Q3OTHER,5,dolime,GH,1,0.0034354726345355844
4,Q3OTHER,20,dombe,ZW,1,0.004140097821067761
4,Q3OTHER,14,eapie,NG,1,0.002398205028353436
4,Q3OTHER,14,ecthie,NG,1,0.0021914293104339758
4,Q3OTHER,5,efutu,GH,1,0.004477769645566374
4,Q3OTHER,14,egbema,NG,3,0.007881998691913202
4,Q3OTHER,14,egbma,NG,1,0.0026273328973044005
4,Q3OTHER,14,egede,NG,1,0.0031749695069361885
4,Q3OTHER,14,eggon,NG,9,0.038173221888521416
4,Q3OTHER,14,ejagam,NG,8,0.020697884161903855
4,Q3OTHER,14,eleme,NG,8,0.020489123214637445
4,Q3OTHER,14,epeye,NG,2,0.004636900461169323
4,Q3OTHER,14,epia,NG,2,0.0051324642645016235
4,Q3OTHER,5,fanti,GH,1,0.0029027613639335203
4,Q3OTHER,5,frafra,GH,11,0.062496979384677784
4,Q3OTHER,6,gabra,KE,7,0.2474006947160687
4,Q3OTHER,14,gbagyi,NG,11,0.04328161548621674
4,Q3OTHER,6,giriama,KE,2,0.1482960504683697
4,Q3OTHER,14,glanda,NG,4,0.019315948918878986
4,Q3OTHER,14,gomai,NG,1,0.0033863512204806256
4,Q3OTHER,5,gonja,GH,4,0.013413055269444613
4,Q3OTHER,5,gruma,GH,6,0.022654378532882012
4,Q3OTHER,5,gruni,GH,12,0.09091247736502614
4,Q3OTHER,5,grussi,GH,6,0.03029450134363848
4,Q3OTHER,5,guan,GH,1,0.0019414285610126992
4,Q3OTHER,6,gujarat,KE,1,0.019748479842738396
4,Q3OTHER,14,gwari,NG,4,0.01165862992863665
4,Q3OTHER,1,haoussa,BJ,2,1
4,Q3OTHER,11,haoussa,ML,3,0.22517081106125947
4,Q3OTHER,14,higgi,NG,1,0.0033547063427714708
4,Q3OTHER,14,ibani,NG,1,0.0020840063050205464
4,Q3OTHER,14,ichen,NG,2,0.004779492856534368
4,Q3OTHER,19,icishila,ZM,1,0.010186153311284429
4,Q3OTHER,14,igara,NG,1,0.0035118554633383173
4,Q3OTHER,14,igede,NG,19,0.06650773105366926
4,Q3OTHER,6,indian,KE,2,0.04572267222030877
4,Q3OTHER,16,indian,ZA,3,0.06864226964687206
4,Q3OTHER,14,ipia,NG,2,0.003281100675619818
4,Q3OTHER,7,isixhoza,LS,1,0.3684192111468161
4,Q3OTHER,14,iyala,NG,2,0.005458335011454109
4,Q3OTHER,14,jukun,NG,4,0.007837918837288039
4,Q3OTHER,14,jukun donga,NG,2,0.00305842598075367
4,Q3OTHER,3,kado,BF,3,0.13663161166546894
4,Q3OTHER,14,kagoro,NG,1,0.004092647332180855
4,Q3OTHER,14,kagoru,NG,1,0.0014214000441773356
4,Q3OTHER,17,kakaguru,TZ,1,0.0018455780305031916
4,Q3OTHER,11,kakolo,ML,3,0.25604095629880796
4,Q3OTHER,18,kakwa,UG,5,0.028695058524281086
4,Q3OTHER,14,kalabari,NG,7,0.015054888582781437
4,Q3OTHER,14,kambari,NG,10,0.0328282562602592
4,Q3OTHER,14,kambu,NG,1,0.0014020194713284763
4,Q3OTHER,3,karakan,BF,2,0.09108774111031263
4,Q3OTHER,18,karamajong,UG,1,0.011998467703253178
4,Q3OTHER,20,karanga,ZW,24,0.14153317407909216
4,Q3OTHER,14,kari-kari,NG,6,0.021079816491414875
4,Q3OTHER,5,kasem,GH,10,0.03360371720833739
4,Q3OTHER,5,kasina,GH,1,0.005137839244006915
4,Q3OTHER,14,kataf,NG,5,0.024398255505505843
4,Q3OTHER,14,kataf(atyap),NG,4,0.020712578200368408
4,Q3OTHER,14,khana,NG,8,0.01977628095567887
4,Q3OTHER,10,khokhola,MW,3,0.18348895881749838
4,Q3OTHER,17,kial-yorobi,TZ,1,0.0020789453400375866
4,Q3OTHER,17,kiarusha,TZ,5,0.005638227044563082
4,Q3OTHER,17,kiasi,TZ,1,0.0012946758299397772
4,Q3OTHER,17,kibarbaik,TZ,1,0.0012946758299397772
4,Q3OTHER,17,kibembe,TZ,4,0.004516348422713624
4,Q3OTHER,17,kibena,TZ,18,0.0481581537060542
4,Q3OTHER,17,kibondei,TZ,8,0.012219491966826753
4,Q3OTHER,17,kibungu,TZ,1,0.002487055244021874
4,Q3OTHER,17,kidigo,TZ,4,0.013102201324507531
4,Q3OTHER,17,kiha,TZ,48,0.11109092067780986
4,Q3OTHER,17,kihangaza,TZ,18,0.027144909030376425
4,Q3OTHER,17,kihindi,TZ,1,0.0011498029097345903
4,Q3OTHER,17,kiiraqi,TZ,36,0.09290732922333686
4,Q3OTHER,17,kijaluo,TZ,14,0.030800105669684982
4,Q3OTHER,17,kijita,TZ,26,0.06294726525028523
4,Q3OTHER,17,kikerewe,TZ,3,0.003224072519813417
4,Q3OTHER,17,kikimbu,TZ,1,0.0016133038240000864
4,Q3OTHER,17,kikine,TZ,1,0.0021973776987506554
4,Q3OTHER,17,kikinga,TZ,10,0.023976403455533705
4,Q3OTHER,17,kikonongo,TZ,1,7.111486125109972e-4
4,Q3OTHER,17,kikutu,TZ,4,0.009432659280130283
4,Q3OTHER,17,kikwaya,TZ,2,0.004389824397553893
4,Q3OTHER,17,kilambya,TZ,1,0.002256549691394547
4,Q3OTHER,17,kilindi,TZ,1,0.0028185854746972158
4,Q3OTHER,17,kilungwa,TZ,2,0.004219073489030431
4,Q3OTHER,17,kimakua,TZ,5,0.006535913889596555
4,Q3OTHER,17,kimalila,TZ,2,0.0037098707084367963
4,Q3OTHER,17,kimambwe,TZ,1,0.0041615572503397895
4,Q3OTHER,17,kimatengo,TZ,11,0.015450477168644543
4,Q3OTHER,17,kimatumbi,TZ,4,0.007508150003241854
4,Q3OTHER,17,kimbembe,TZ,1,9.20364002683106e-4
4,Q3OTHER,17,kimbulu,TZ,4,0.007196284010275397
4,Q3OTHER,17,kimbungo,TZ,1,0.002487055244021874
4,Q3OTHER,17,kimeru,TZ,1,0.0012178964602560394
4,Q3OTHER,12,kimwani,MZ,2,0.0059198505584730715
4,Q3OTHER,17,kimwera,TZ,15,0.040016741782357965
4,Q3OTHER,17,kindali,TZ,12,0.030704218968729706
4,Q3OTHER,17,kindamba,TZ,1,0.0028711630796817936
4,Q3OTHER,17,kindendeule,TZ,11,0.02802732864764504
4,Q3OTHER,17,kindengereko,TZ,5,0.014076966993753643
4,Q3OTHER,17,kingindo,TZ,6,0.01862457782039725
4,Q3OTHER,17,kingoni,TZ,2,0.004885008096348445
4,Q3OTHER,17,kinyagazwa,TZ,1,0.002139417462759256
4,Q3OTHER,17,kinyambo,TZ,18,0.04159529821732898
4,Q3OTHER,17,kinyamwanga,TZ,5,0.013707167447727469
4,Q3OTHER,17,kinyiha,TZ,7,0.02067006777800914
4,Q3OTHER,17,kipangwa,TZ,2,0.004657061300325597
4,Q3OTHER,17,kipimbwe,TZ,8,0.011480802979123494
4,Q3OTHER,17,kipogoro,TZ,14,0.01834583672121528
4,Q3OTHER,6,kipsigis,KE,1,0.02743676590915289
4,Q3OTHER,17,kirangi,TZ,11,0.020146612348523916
4,Q3OTHER,17,kiryeri,TZ,1,0.00154239011546921
4,Q3OTHER,17,kisafwa,TZ,5,0.009805586040138554
