country,question,value,round,country_iso,iso_639_3,iso_scope,iso_ref_name
1,Q3OTHER,haoussa,r4,BJ,hau,I,Hausa
2,Q3OTHER,sebanderu,r4,BW,,,
2,Q3OTHER,segxereku,r4,BW,,,
2,Q3OTHER,senajwa,r4,BW,,,
2,Q3OTHER,seshona,r4,BW,sna,I,Shona
2,Q3OTHER,sesotho,r4,BW,sot,I,Southern Sotho
2,Q3OTHER,setlharwa,r4,BW,,,
2,Q3OTHER,setswapong,r4,BW,two,I,Tswapong
2,Q3OTHER,sezezuru,r4,BW,sna,I,Shona
3,Q3OTHER,bella,r4,BF,,,
3,Q3OTHER,dogon,r4,BF,djm,I,Jamsay Dogon
3,Q3OTHER,dogon,r4,BF,dtm,I,Tomo Kan Dogon
3,Q3OTHER,kado,r4,BF,,,
3,Q3OTHER,karakan,r4,BF,,,
3,Q3OTHER,pougouli,r4,BF,pug,I,Phuie
3,Q3OTHER,sissaba,r4,BF,,,
3,Q3OTHER,tamacheck,r4,BF,,,
3,Q3OTHER,toussian,r4,BF,,,
5,Q3OTHER,assin,r4,GH,,,
5,Q3OTHER,banda,r4,GH,nfr,I,Nafaanra
5,Q3OTHER,basare,r4,GH,bud,I,Ntcham
5,Q3OTHER,basseli,r4,GH,,,
5,Q3OTHER,bemuba,r4,GH,,,
5,Q3OTHER,bimoba,r4,GH,bim,I,Bimoba
5,Q3OTHER,bisab,r4,GH,,,
5,Q3OTHER,brefo,r4,GH,,,
5,Q3OTHER,brosa,r4,GH,any,I,Anyin
5,Q3OTHER,builsa,r4,GH,bwu,I,Buli (Ghana)
5,Q3OTHER,bule,r4,GH,,,
5,Q3OTHER,busanga,r4,GH,,,
5,Q3OTHER,buzanga,r4,GH,,,
5,Q3OTHER,dagaari,r4,GH,dga,I,Southern Dagaare
5,Q3OTHER,dagate,r4,GH,,,
5,Q3OTHER,dagomba,r4,GH,dag,I,Dagbani
5,Q3OTHER,dolime,r4,GH,,,
5,Q3OTHER,efutu,r4,GH,afu,I,Awutu
5,Q3OTHER,fanti,r4,GH,aka,M,Akan
5,Q3OTHER,frafra,r4,GH,gur,I,Farefare
5,Q3OTHER,gonja,r4,GH,gjn,I,Gonja
5,Q3OTHER,gruma,r4,GH,,,
5,Q3OTHER,gruni,r4,GH,,,
5,Q3OTHER,grussi,r4,GH,,,
5,Q3OTHER,guan,r4,GH,gwx,I,Gua
5,Q3OTHER,kasem,r4,GH,xsm,I,Kasem
5,Q3OTHER,kasina,r4,GH,,,
5,Q3OTHER,konkoba,r4,GH,,,
5,Q3OTHER,kotokoli,r4,GH,kdh,I,Tem
5,Q3OTHER,kusal,r4,GH,,,
5,Q3OTHER,kusasi,r4,GH,kus,I,Kusaal
5,Q3OTHER,larteh,r4,GH,lar,I,Larteh
5,Q3OTHER,lekpekpe,r4,GH,,,
5,Q3OTHER,mampruli,r4,GH,maw,I,Mampruli
5,Q3OTHER,mamprusi,r4,GH,maw,I,Mampruli
5,Q3OTHER,mossi,r4,GH,,,
5,Q3OTHER,nafana,r4,GH,nfr,I,Nafaanra
5,Q3OTHER,nanum,r4,GH,,,
5,Q3OTHER,nzema,r4,GH,nzi,I,Nzima
5,Q3OTHER,sefwi,r4,GH,sfw,I,Sehwi
5,Q3OTHER,sisila,r4,GH,sil,I,Tumulung Sisaala
5,Q3OTHER,sisila,r4,GH,ssl,I,Western Sisaala
5,Q3OTHER,talensi,r4,GH,gur,I,Farefare
5,Q3OTHER,tampulma,r4,GH,tpm,I,Tampulma
5,Q3OTHER,wa dormu,r4,GH,,,
5,Q3OTHER,waala,r4,GH,wlx,I,Wali (Ghana)
5,Q3OTHER,wassa,r4,GH,wss,I,Wasa
5,Q3OTHER,zabrama,r4,GH,,,
5,Q3OTHER,zugu,r4,GH,,,
6,Q3OTHER,arabic,r4,KE,arb,I,Standard Arabic
6,Q3OTHER,arabic,r4,KE,ara,M,Arabic
6,Q3OTHER,bajun,r4,KE,swh,I,Swahili (individual language)
6,Q3OTHER,bajun,r4,KE,swa,M,Swahili (macrolanguage)
6,Q3OTHER,borana,r4,KE,gax,I,Borana-Arsi-Guji Oromo
6,Q3OTHER,borana,r4,KE,orm,M,Oromo
6,Q3OTHER,digo,r4,KE,dig,I,Digo
6,Q3OTHER,gabra,r4,KE,,,
6,Q3OTHER,giriama,r4,KE,nyf,I,Giryama
6,Q3OTHER,gujarat,r4,KE,,,
6,Q3OTHER,indian,r4,KE,guj,I,Gujarati
6,Q3OTHER,kipsigis,r4,KE,sgc,I,Kipsigis
6,Q3OTHER,kipsigis,r4,KE,kln,M,Kalenjin
6,Q3OTHER,pokomo,r4,KE,pkb,I,Pokomo
6,Q3OTHER,saboti,r4,KE,,,
6,Q3OTHER,teso,r4,KE,teo,I,Teso
6,Q3OTHER,tiriki,r4,KE,ida,I,Idakho-Isukha-Tiriki
6,Q3OTHER,tiriki,r4,KE,luy,M,Luyia
7,Q3OTHER,isixhoza,r4,LS,xho,I,Xhosa
7,Q3OTHER,mzema,r4,LS,,,
7,Q3OTHER,zhoza,r4,LS,xho,I,Xhosa
8,Q3OTHER,sarpo,r4,LR,krn,I,Sapo
10,Q3OTHER,khokhola,r4,MW,kzn,I,Kokola
10,Q3OTHER,namwanga,r4,MW,,,
10,Q3OTHER,ndali,r4,MW,ndh,I,Ndali
10,Q3OTHER,nyika,r4,MW,nkv,I,Nyika (Malawi and Zambia)
10,Q3OTHER,wiza,r4,MW,,,
11,Q3OTHER,haoussa,r4,ML,,,
11,Q3OTHER,kakolo,r4,ML,xkg,I,Kagoro
11,Q3OTHER,samogo,r4,ML,dux,I,Duungooma
11,Q3OTHER,zerma,r4,ML,,,
12,Q3OTHER,cheua,r4,MZ,nya,I,Nyanja
12,Q3OTHER,chewa,r4,MZ,nya,I,Nyanja
12,Q3OTHER,chewe,r4,MZ,nya,I,Nyanja
12,Q3OTHER,chimanica,r4,MZ,,,
12,Q3OTHER,chiteue,r4,MZ,twx,I,Tewe
12,Q3OTHER,chiute,r4,MZ,twx,I,Tewe
12,Q3OTHER,chona,r4,MZ,,,
12,Q3OTHER,chuabo,r4,MZ,chw,I,Chuwabu
12,Q3OTHER,coti,r4,MZ,eko,I,Koti
12,Q3OTHER,kimwani,r4,MZ,wmw,I,Mwani
12,Q3OTHER,lolo,r4,MZ,llb,I,Lolo
12,Q3OTHER,lomue,r4,MZ,ngl,I,Lomwe
12,Q3OTHER,lomwe,r4,MZ,ngl,I,Lomwe
12,Q3OTHER,macheua,r4,MZ,,,
12,Q3OTHER,makwe,r4,MZ,ymk,I,Makwe
12,Q3OTHER,malolo,r4,MZ,,,
12,Q3OTHER,manhembane,r4,MZ,,,
12,Q3OTHER,manhungue,r4,MZ,,,
12,Q3OTHER,marenge,r4,MZ,vmr,I,Marenje
12,Q3OTHER,marenje,r4,MZ,vmr,I,Marenje
12,Q3OTHER,mateue,r4,MZ,,,
12,Q3OTHER,mathewe,r4,MZ,,,
12,Q3OTHER,matsua,r4,MZ,tsc,I,Tswa
12,Q3OTHER,muani,r4,MZ,wmw,I,Mwani
12,Q3OTHER,muauni,r4,MZ,wmw,I,Mwani
12,Q3OTHER,muniga,r4,MZ,mhm,I,Makhuwa-Moniga
12,Q3OTHER,munoga,r4,MZ,mhm,I,Makhuwa-Moniga
12,Q3OTHER,nhungue,r4,MZ,nyu,I,Nyungwe
12,Q3OTHER,nyungue,r4,MZ,nyu,I,Nyungwe
12,Q3OTHER,ronga,r4,MZ,rng,I,Ronga
12,Q3OTHER,sena,r4,MZ,seh,I,Sena
12,Q3OTHER,shona,r4,MZ,,,
12,Q3OTHER,"shona, cheua",r4,MZ,,,
12,Q3OTHER,tacuane,r4,MZ,tke,I,Takwane
12,Q3OTHER,tewe,r4,MZ,twx,I,Tewe
12,Q3OTHER,tonga,r4,MZ,tso,I,Tsonga
12,Q3OTHER,xiteu,r4,MZ,txw,,
