round,lang_name,variable,iso_alpha2,country,glottocode,glottolog_name,level
4,abi,Q3OTHER,NG,14,,,
4,abua,Q3OTHER,NG,14,abua1244,Abua,language
4,adun,Q3OTHER,NG,14,cros1244,Cross River Mbembe,language
4,afikpo,Q3OTHER,NG,14,nucl1417,Igbo,language
4,ahuda,Q3OTHER,NG,14,,,
4,aka,Q3OTHER,NG,14,,,
4,akumu,Q3OTHER,UG,18,,,
4,akwandara,Q3OTHER,NG,14,gwan1268,Gwandara,language
4,andoni,Q3OTHER,NG,14,obol1243,Obolo,language
4,angas,Q3OTHER,NG,14,ngas1240,Ngas,language
4,ankwai,Q3OTHER,NG,14,goem1240,Goemai,language
4,arabic,Q3OTHER,KE,6,oman1239,Omani Arabic,language
4,arago,Q3OTHER,NG,14,alag1242,Alago,language
4,aringa,Q3OTHER,UG,18,arin1244,Aringa,language
4,asian,Q3OTHER,ZA,16,hind1269,Hindi,language
4,asian/indian,Q3OTHER,ZA,16,hind1269,Hindi,language
4,assin,Q3OTHER,GH,5,,,
4,awak,Q3OTHER,NG,14,awak1250,Awak,language
4,awori,Q3OTHER,NG,14,yoru1245,Yoruba,language
4,azoqo,Q3OTHER,NG,14,,,
4,babur,Q3OTHER,NG,14,bura1292,Bura-Pabir,language
4,bachama,Q3OTHER,NG,14,baca1246,Bacama,language
4,bada,Q3OTHER,NG,14,bade1248,Bade,language
4,bajun,Q3OTHER,KE,6,swah1253,Swahili,language
4,balante,Q3OTHER,SN,15,bala1302,Balanta-Ganja,language
4,balawa,Q3OTHER,NG,14,,,
4,banda,Q3OTHER,GH,5,nafa1258,Nafaanra,language
4,basare,Q3OTHER,GH,5,ntch1242,Ntcham,language
4,bassa,Q3OTHER,NG,14,basa1282,Basa (Nigeria),language
4,basseli,Q3OTHER,GH,5,ntch1242,Ntcham,language
4,bazanfara,Q3OTHER,NG,14,,,
4,bekwaira,Q3OTHER,NG,14,,,
4,bella,Q3OTHER,BF,3,,,
4,bemuba,Q3OTHER,GH,5,bimo1239,Bimoba,language
4,betem,Q3OTHER,NG,14,,,
4,bette,Q3OTHER,NG,14,bete1262,Bete-Bendi,language
4,bimoba,Q3OTHER,GH,5,bimo1239,Bimoba,language
4,birom,Q3OTHER,NG,14,bero1242,Berom,language
4,bisa,Q3OTHER,NG,14,busa1253,Busa,language
4,bisab,Q3OTHER,GH,5,biss1248,Bissa,language
4,borana,Q3OTHER,KE,6,bora1271,Borana-Arsi-Guji Oromo,language
4,brass,Q3OTHER,NG,14,,,
4,brefo,Q3OTHER,GH,5,,,
4,brosa,Q3OTHER,GH,5,anyi1245,Anyin,language
4,budya,Q3OTHER,ZW,20,,,
4,builsa,Q3OTHER,GH,5,buli1254,Buli (Ghana),language
4,bule,Q3OTHER,GH,5,buli1254,Buli (Ghana),language
4,busanga,Q3OTHER,GH,5,,,
4,buzanga,Q3OTHER,GH,5,,,
4,bwile,Q3OTHER,ZM,19,bwil1245,Bwile,language
4,calabar,Q3OTHER,NG,14,efik1245,Efik,language
4,changani,Q3OTHER,ZW,20,,,
4,cheua,Q3OTHER,MZ,12,nyan1308,Nyanja,language
4,chewa,Q3OTHER,MZ,12,nyan1308,Nyanja,language
4,chewa,Q3OTHER,ZW,20,nyan1308,Nyanja,language
4,chewe,Q3OTHER,MZ,12,nyan1308,Nyanja,language
4,chibok,Q3OTHER,NG,14,ciba1236,Cibak,language
4,chichewa,Q3OTHER,ZA,16,nyan1308,Nyanja,language
4,chikaranga,Q3OTHER,ZW,20,shon1251,Shona,language
4,chimanica,Q3OTHER,MZ,12,many1258,Manyika,language
