round,variable,country,lang_name,iso_639_3,iso_scope,iso_ref_name,iso_alpha2
4,Q3OTHER,14,abi,mis,S,Uncoded languages,NG
4,Q3OTHER,14,abua,abn,I,Abua,NG
4,Q3OTHER,14,adun,mfn,I,Cross River Mbembe,NG
4,Q3OTHER,14,afikpo,ibo,I,Igbo,NG
4,Q3OTHER,14,ahuda,mis,S,Uncoded languages,NG
4,Q3OTHER,14,aka,mis,S,Uncoded languages,NG
4,Q3OTHER,18,akumu,mis,S,Uncoded languages,UG
4,Q3OTHER,14,akwandara,gwn,I,Gwandara,NG
4,Q3OTHER,14,andoni,ann,I,Obolo,NG
4,Q3OTHER,14,angas,anc,I,Ngas,NG
4,Q3OTHER,14,ankwai,ank,I,Goemai,NG
4,Q3OTHER,6,arabic,acx,I,Omani Arabic,KE
4,Q3OTHER,6,arabic,ara,M,Arabic,KE
4,Q3OTHER,14,arago,ala,I,Alago,NG
4,Q3OTHER,18,aringa,luc,I,Aringa,UG
4,Q3OTHER,16,asian,hin,I,Hindi,ZA
4,Q3OTHER,16,asian/indian,hin,I,Hindi,ZA
4,Q3OTHER,5,assin,mis,S,Uncoded languages,GH
4,Q3OTHER,14,awak,awo,I,Awak,NG
4,Q3OTHER,14,awori,yor,I,Yoruba,NG
4,Q3OTHER,14,azoqo,mis,S,Uncoded languages,NG
4,Q3OTHER,14,babur,bwr,I,Bura-Pabir,NG
4,Q3OTHER,14,bachama,bcy,I,Bacama,NG
4,Q3OTHER,14,bada,bde,I,Bade,NG
4,Q3OTHER,6,bajun,swh,I,Swahili (individual language),KE
4,Q3OTHER,6,bajun,swa,M,Swahili (macrolanguage),KE
4,Q3OTHER,15,balante,bjt,I,Balanta-Ganja,SN
4,Q3OTHER,14,balawa,mis,S,Uncoded languages,NG
4,Q3OTHER,5,banda,nfr,I,Nafaanra,GH
4,Q3OTHER,5,basare,bud,I,Ntcham,GH
4,Q3OTHER,14,bassa,bzw,I,Basa (Nigeria),NG
4,Q3OTHER,5,basseli,bud,I,Ntcham,GH
4,Q3OTHER,14,bazanfara,mis,S,Uncoded languages,NG
4,Q3OTHER,14,bekwaira,mis,S,Uncoded languages,NG
4,Q3OTHER,3,bella,mis,S,Uncoded languages,BF
4,Q3OTHER,5,bemuba,bim,I,Bimoba,GH
4,Q3OTHER,14,betem,mis,S,Uncoded languages,NG
4,Q3OTHER,14,bette,btt,I,Bete-Bendi,NG
4,Q3OTHER,5,bimoba,bim,I,Bimoba,GH
4,Q3OTHER,14,birom,bom,I,Berom,NG
4,Q3OTHER,14,bisa,bqp,I,Busa,NG
4,Q3OTHER,5,bisab,bib,I,Bissa,GH
4,Q3OTHER,6,borana,gax,I,Borana-Arsi-Guji Oromo,KE
4,Q3OTHER,6,borana,orm,M,Oromo,KE
4,Q3OTHER,14,brass,mis,S,Uncoded languages,NG
4,Q3OTHER,5,brefo,mis,S,Uncoded languages,GH
4,Q3OTHER,5,brosa,any,I,Anyin,GH
4,Q3OTHER,20,budya,mis,S,Uncoded languages,ZW
4,Q3OTHER,5,builsa,bwu,I,Buli (Ghana),GH
4,Q3OTHER,5,bule,bwu,I,Buli (Ghana),GH
4,Q3OTHER,5,busanga,mis,S,Uncoded languages,GH
4,Q3OTHER,5,buzanga,mis,S,Uncoded languages,GH
4,Q3OTHER,19,bwile,bwc,I,Bwile,ZM
4,Q3OTHER,14,calabar,efi,I,Efik,NG
4,Q3OTHER,20,changani,tso,I,Tsonga,ZW
4,Q3OTHER,12,cheua,nya,I,Nyanja,MZ
4,Q3OTHER,12,chewa,nya,I,Nyanja,MZ
4,Q3OTHER,20,chewa,nya,I,Nyanja,ZW
4,Q3OTHER,12,chewe,nya,I,Nyanja,MZ
4,Q3OTHER,14,chibok,ckl,I,Cibak,NG
4,Q3OTHER,16,chichewa,nya,I,Nyanja,ZA
4,Q3OTHER,20,chikaranga,sna,I,Shona,ZW
4,Q3OTHER,12,chimanica,mxc,I,Manyika,MZ
4,Q3OTHER,12,chiteue,twx,I,Tewe,MZ
4,Q3OTHER,12,chiute,twx,I,Tewe,MZ
4,Q3OTHER,19,chokwe,cjk,I,Chokwe,ZM
4,Q3OTHER,12,chona,mis,S,Uncoded languages,MZ
4,Q3OTHER,12,chuabo,chw,I,Chuwabu,MZ
4,Q3OTHER,12,coti,eko,I,Koti,MZ
4,Q3OTHER,14,cross river yala,yba,I,Yala,NG
4,Q3OTHER,5,dagaari,dga,I,Southern Dagaare,GH
4,Q3OTHER,5,dagate,dga,I,Southern Dagaare,GH
4,Q3OTHER,5,dagomba,dag,I,Dagbani,GH
4,Q3OTHER,14,diemak,mis,S,Uncoded languages,NG
4,Q3OTHER,6,digo,dig,I,Digo,KE
4,Q3OTHER,3,dogon,djm,I,Jamsay Dogon,BF
4,Q3OTHER,3,dogon,dtm,I,Tomo Kan Dogon,BF
4,Q3OTHER,5,dolime,wlx,I,Wali (Ghana),GH
4,Q3OTHER,20,dombe,dov,I,Dombe,ZW
4,Q3OTHER,14,eapie,mis,S,Uncoded languages,NG
4,Q3OTHER,14,ecthie,mis,S,Uncoded languages,NG
4,Q3OTHER,5,efutu,afu,I,Awutu,GH
4,Q3OTHER,14,egbema,ijc,I,Izon,NG
4,Q3OTHER,14,egbma,ijc,I,Izon,NG
4,Q3OTHER,14,egede,ige,I,Igede,NG
4,Q3OTHER,14,eggon,ego,I,Eggon,NG
4,Q3OTHER,14,ejagam,etu,I,Ejagham,NG
4,Q3OTHER,14,eleme,elm,I,Eleme,NG
4,Q3OTHER,14,epeye,ekp,I,Ekpeye,NG
4,Q3OTHER,14,epia,epi,I,Epie,NG
4,Q3OTHER,5,fanti,fat,I,Fanti,GH
4,Q3OTHER,5,fanti,aka,M,Akan,GH
4,Q3OTHER,5,frafra,gur,I,Farefare,GH
4,Q3OTHER,6,gabra,mis,S,Uncoded languages,KE
4,Q3OTHER,14,gbagyi,gbr,I,Gbagyi,NG
4,Q3OTHER,6,giriama,nyf,I,Giryama,KE
4,Q3OTHER,14,glanda,glw,I,Glavda,NG
4,Q3OTHER,14,gomai,mis,S,Uncoded languages,NG
4,Q3OTHER,5,gonja,gjn,I,Gonja,GH
4,Q3OTHER,5,gruma,bim,I,Bimoba,GH
4,Q3OTHER,5,gruni,gur,I,Farefare,GH
4,Q3OTHER,5,grussi,xsm,I,Kasem,GH
4,Q3OTHER,5,guan,gwx,I,Gua,GH
