round,variable,country,value,iso_alpha2,wals_code,wals_name,auto
4,Q3OTHER,1,HAOUSSA,BJ,hau,Hausa,1
4,Q3OTHER,2,Sebanderu,BW,,,
4,Q3OTHER,2,Segxereku,BW,,,
4,Q3OTHER,2,Senajwa,BW,,,
4,Q3OTHER,2,Seshona,BW,shn,Shona,1
4,Q3OTHER,2,Sesotho,BW,ses,Sesotho,1
4,Q3OTHER,2,Setlharwa,BW,,,
4,Q3OTHER,2,Setswapong,BW,stn,Sotho (Northern),1
4,Q3OTHER,2,Sezezuru,BW,shn,Shona,1
4,Q3OTHER,3,BELLA,BF,,,
4,Q3OTHER,3,DOGON,BF,dds,Donno So,0
4,Q3OTHER,3,DOGON,BF,dts,Toro So,0
4,Q3OTHER,3,KADO,BF,,,
4,Q3OTHER,3,KARAKAN,BF,,,
4,Q3OTHER,3,POUGOULI,BF,tmp,Tampulma,1
4,Q3OTHER,3,POUGOULI,BF,kow,Ko (Winye),1
4,Q3OTHER,3,POUGOULI,BF,ssa,Sisaala,1
4,Q3OTHER,3,POUGOULI,BF,vag,Vagla,1
4,Q3OTHER,3,SISSABA,BF,,,
4,Q3OTHER,3,TAMACHECK,BF,,,
4,Q3OTHER,3,TOUSSIAN,BF,,,
4,Q3OTHER,5,ASSIN,GH,,,
4,Q3OTHER,5,BANDA,GH,naf,Nafaanra,1
4,Q3OTHER,5,BASARE,GH,ncm,Ncàm,1
4,Q3OTHER,5,BASSELI,GH,ncm,Ncàm,1
4,Q3OTHER,5,BEMUBA,GH,bmb,Bimoba,1
4,Q3OTHER,5,BIMOBA,GH,bmb,Bimoba,1
4,Q3OTHER,5,BISAB,GH,bis,Bisa,1
4,Q3OTHER,5,BREFO,GH,,,
4,Q3OTHER,5,BROSA,GH,ayi,Anyi,1
4,Q3OTHER,5,BUILSA,GH,buy,Buli (in Ghana),1
4,Q3OTHER,5,BULE,GH,buy,Buli (in Ghana),1
4,Q3OTHER,5,BUSANGA,GH,,,
4,Q3OTHER,5,BUZANGA,GH,,,
4,Q3OTHER,5,DAGAARI,GH,dga,Dagaare,1
4,Q3OTHER,5,DAGATE,GH,dga,Dagaare,1
4,Q3OTHER,5,DAGOMBA,GH,dgb,Dagbani,1
4,Q3OTHER,5,DOLIME,GH,dga,Dagaare,1
4,Q3OTHER,5,EFUTU,GH,cum,Chumburung,1
4,Q3OTHER,5,EFUTU,GH,nkn,Nkonya,1
4,Q3OTHER,5,FANTI,GH,akn,Akan,1
4,Q3OTHER,5,FRAFRA,GH,grn,Gurenne,1
4,Q3OTHER,5,GONJA,GH,cum,Chumburung,1
4,Q3OTHER,5,GONJA,GH,nkn,Nkonya,1
4,Q3OTHER,5,GRUMA,GH,bmb,Bimoba,1
4,Q3OTHER,5,GRUNI,GH,grn,Gurenne,1
4,Q3OTHER,5,GRUSSI,GH,xsm,Kàsim,1
4,Q3OTHER,5,GUAN,GH,cum,Chumburung,1
4,Q3OTHER,5,GUAN,GH,nkn,Nkonya,1
4,Q3OTHER,5,KASEM,GH,xsm,Kàsim,1
4,Q3OTHER,5,KASINA,GH,xsm,Kàsim,1
4,Q3OTHER,5,KONKOBA,GH,kkb,Konkomba,1
4,Q3OTHER,5,KOTOKOLI,GH,tem,Tem,1
4,Q3OTHER,5,KUSAL,GH,mmp,Mampruli,1
4,Q3OTHER,5,KUSAL,GH,dgb,Dagbani,1
4,Q3OTHER,5,KUSASI,GH,mmp,Mampruli,1
4,Q3OTHER,5,KUSASI,GH,dgb,Dagbani,1
4,Q3OTHER,5,LARTEH,GH,cum,Chumburung,1
4,Q3OTHER,5,LARTEH,GH,nkn,Nkonya,1
4,Q3OTHER,5,LEKPEKPE,GH,llm,Lelemi,1
4,Q3OTHER,5,MAMPRULI,GH,mmp,Mampruli,1
4,Q3OTHER,5,MAMPRUSI,GH,mmp,Mampruli,1
4,Q3OTHER,5,MOSSI,GH,moo,Mooré,1
4,Q3OTHER,5,NAFANA,GH,naf,Nafaanra,1
4,Q3OTHER,5,NANUM,GH,dgb,Dagbani,1
4,Q3OTHER,5,NZEMA,GH,anu,Anufo,1
4,Q3OTHER,5,NZEMA,GH,ble,Baule,1
4,Q3OTHER,5,NZEMA,GH,ayi,Anyi,1
4,Q3OTHER,5,SEFWI,GH,anu,Anufo,1
4,Q3OTHER,5,SEFWI,GH,ble,Baule,1
4,Q3OTHER,5,SEFWI,GH,ayi,Anyi,1
4,Q3OTHER,5,SISILA,GH,ssa,Sisaala,1
4,Q3OTHER,5,TALENSI,GH,grn,Gurenne,1
4,Q3OTHER,5,TAMPULMA,GH,tmp,Tampulma,1
4,Q3OTHER,5,WA DORMU,GH,,,
4,Q3OTHER,5,WAALA,GH,dga,Dagaare,1
4,Q3OTHER,5,WASSA,GH,akn,Akan,1
4,Q3OTHER,5,ZABRAMA,GH,,,
4,Q3OTHER,5,ZUGU,GH,,,
4,Q3OTHER,6,Arabic,KE,arg,Arabic (Gulf),0
4,Q3OTHER,6,Bajun,KE,swa,Swahili,1
4,Q3OTHER,6,Borana,KE,orb,Oromo (Boraana),1
4,Q3OTHER,6,Digo,KE,com,Comorian,1
4,Q3OTHER,6,Gabra,KE,,,
4,Q3OTHER,6,Giriama,KE,com,Comorian,1
4,Q3OTHER,6,Gujarat,KE,guj,Gujarati,1
4,Q3OTHER,6,Indian,KE,guj,Gujarati,1
4,Q3OTHER,6,Kipsigis,KE,nan,Nandi,1
4,Q3OTHER,6,Pokomo,KE,com,Comorian,1
4,Q3OTHER,6,Saboti,KE,seb,Sebei,1
4,Q3OTHER,6,Teso,KE,tes,Teso,1
4,Q3OTHER,6,Tiriki,KE,buk,Bukusu,1
4,Q3OTHER,6,Tiriki,KE,luy,Luyia,1
