round,variable,lang_id,lang_name,country,iso_alpha2,wals_code,wals_name,auto
1,language,1,Afrikaans,1,BW,afr,Afrikaans,1
1,language,1,Afrikaans,6,NA,afr,Afrikaans,1
1,language,1,Afrikaans,8,ZA,afr,Afrikaans,1
1,language,2,Chewa,1,BW,cic,Chichewa,1
1,language,2,Chewa,4,MW,cic,Chichewa,1
1,language,2,Chewa,12,ZW,cic,Chichewa,1
1,language,3,Chinyungwe,4,MW,sen,Sena,1
1,language,3,Chinyungwe,6,NA,sen,Sena,1
1,language,4,Chisena,4,MW,sen,Sena,1
1,language,4,Chisena,11,ZM,sen,Sena,1
1,language,5,Damara,1,BW,kho,Khoekhoe,1
1,language,5,Damara,6,NA,kho,Khoekhoe,1
1,language,5,Damara,11,ZM,kho,Khoekhoe,1
1,language,5,Damara,12,ZW,kho,Khoekhoe,1
1,language,6,English,1,BW,eng,English,1
1,language,6,English,3,LS,eng,English,1
1,language,6,English,4,MW,eng,English,1
1,language,6,English,6,NA,eng,English,1
1,language,6,English,8,ZA,eng,English,1
1,language,6,English,11,ZM,eng,English,1
1,language,6,English,12,ZW,eng,English,1
1,language,7,German,1,BW,ger,German,0
1,language,7,German,6,NA,ger,German,0
1,language,8,Nama,6,NA,kho,Khoekhoe,1
1,language,8,Nama,12,ZW,kho,Khoekhoe,1
1,language,9,Ndebele,1,BW,swt,Swati,1
1,language,9,Ndebele,1,BW,xho,Xhosa,1
1,language,9,Ndebele,1,BW,zul,Zulu,1
1,language,9,Ndebele,3,LS,ndb,Ndebele (in South Africa),1
1,language,9,Ndebele,6,NA,swt,Swati,1
1,language,9,Ndebele,6,NA,xho,Xhosa,1
1,language,9,Ndebele,6,NA,zul,Zulu,1
1,language,9,Ndebele,8,ZA,ndb,Ndebele (in South Africa),1
1,language,9,Ndebele,11,ZM,swt,Swati,1
1,language,9,Ndebele,11,ZM,xho,Xhosa,1
1,language,9,Ndebele,11,ZM,zul,Zulu,1
1,language,9,Ndebele,12,ZW,swt,Swati,1
1,language,9,Ndebele,12,ZW,xho,Xhosa,1
1,language,9,Ndebele,12,ZW,zul,Zulu,1
1,language,10,Oshiwambo,6,NA,mhu,Mbalanhu,1
1,language,10,Oshiwambo,6,NA,ndo,Ndonga,1
1,language,11,Otjiherero,1,BW,her,Herero,1
1,language,11,Otjiherero,6,NA,her,Herero,1
1,language,12,Portueguese,6,NA,por,Portuguese,1
1,language,13,Rukwangali,6,NA,kwn,Kwangali,1
1,language,14,"Sesotho,Sotho, S.Sotho",1,BW,ses,Sesotho,1
1,language,14,"Sesotho,Sotho, S.Sotho",3,LS,ses,Sesotho,1
1,language,14,"Sesotho,Sotho, S.Sotho",8,ZA,ses,Sesotho,1
1,language,15,Setswana/Tswana,1,BW,tsw,Tswana,1
1,language,15,Setswana/Tswana,6,NA,tsw,Tswana,1
1,language,15,Setswana/Tswana,8,ZA,tsw,Tswana,1
1,language,16,Silozi,1,BW,loz,Lozi,1
1,language,16,Silozi,6,NA,loz,Lozi,1
1,language,16,Silozi,11,ZM,loz,Lozi,1
1,language,17,Shangaan/Tsonga/Ronga/Tswa,8,ZA,rga,Ronga,1
1,language,17,Shangaan/Tsonga/Ronga/Tswa,8,ZA,tsn,Tsonga,1
1,language,17,Shangaan/Tsonga/Ronga/Tswa,12,ZW,rga,Ronga,1
1,language,17,Shangaan/Tsonga/Ronga/Tswa,12,ZW,tsn,Tsonga,1
1,language,18,Shona,1,BW,shn,Shona,1
1,language,18,Shona,6,NA,shn,Shona,1
1,language,18,Shona,11,ZM,shn,Shona,1
1,language,18,Shona,12,ZW,shn,Shona,1
1,language,20,Swazi,8,ZA,swt,Swati,1
1,language,20,Swazi,11,ZM,swt,Swati,1
1,language,20,Swazi,12,ZW,swt,Swati,1
1,language,21,Venda,6,NA,ven,Venda,1
1,language,21,Venda,8,ZA,ven,Venda,1
1,language,21,Venda,12,ZW,ven,Venda,1
1,language,22,Xhosa,3,LS,xho,Xhosa,1
1,language,22,Xhosa,8,ZA,xho,Xhosa,1
1,language,22,Xhosa,12,ZW,xho,Xhosa,1
1,language,23,Zulu,1,BW,zul,Zulu,1
1,language,23,Zulu,8,ZA,zul,Zulu,1
1,language,24,Sepedi/N.Sotho,6,NA,stn,Sotho (Northern),1
1,language,24,Sepedi/N.Sotho,8,ZA,stn,Sotho (Northern),1
1,language,26,Bemba,11,ZM,lmb,Lamba,1
1,language,27,Kaonde,11,ZM,kil,Kiluba,1
1,language,29,Luvale,11,ZM,luv,Luvale,1
1,language,30,Nyanja,4,MW,cic,Chichewa,1
1,language,30,Nyanja,11,ZM,cic,Chichewa,1
1,language,31,Tonga,4,MW,cic,Chichewa,1
1,language,31,Tonga,4,MW,sen,Sena,1
1,language,31,Tonga,11,ZM,toz,Tonga (in Zambia),1
1,language,32,Ngoni,4,MW,cic,Chichewa,1
1,language,33,Lomwe,4,MW,mua,Makua,1
1,language,34,Tumbuka,4,MW,cic,Chichewa,1
1,language,34,Tumbuka,4,MW,sen,Sena,1
1,language,35,Yao,4,MW,yao,Yao (in Malawi),1
1,language,37,Nkhonde,4,MW,mmw,Mambwe,1
1,language,37,Nkhonde,4,MW,nyh,Nyiha,1
1,language,38,Lambya,4,MW,nyh,Nyiha,1
1,language,41,Akan,2,GH,akn,Akan,1
1,language,42,Dangaare,2,GH,dga,Dagaare,1
1,language,43,Dagbane,2,GH,dgb,Dagbani,1
1,language,44,Ewe,2,GH,ewe,Ewe,0
1,language,45,Ga,2,GH,ga,Gã,1
1,language,46,Hausa,2,GH,hau,Hausa,1
1,language,47,Frafra,2,GH,grn,Gurenne,1
1,language,48,Nzema,2,GH,anu,Anufo,1
1,language,48,Nzema,2,GH,ayi,Anyi,1
1,language,48,Nzema,2,GH,ble,Baule,1
1,language,50,Dangbe,2,GH,ga,Gã,1
1,language,51,Wassa,2,GH,akn,Akan,1
1,language,52,Ahanta,2,GH,anu,Anufo,1
1,language,52,Ahanta,2,GH,ayi,Anyi,1
1,language,52,Ahanta,2,GH,ble,Baule,1
1,language,53,Guan,2,GH,nkn,Nkonya,0
1,language,54,Kasem,2,GH,xsm,Kàsim,1
1,language,55,Kusasi,2,GH,dgb,Dagbani,1
1,language,55,Kusasi,2,GH,mmp,Mampruli,1
1,language,56,Moar,2,GH,bmb,Bimoba,1
1,language,57,Bimoba,2,GH,bmb,Bimoba,1
1,language,58,Konkomba,2,GH,kkb,Konkomba,1
1,language,59,Chekosi,2,GH,anu,Anufo,1
1,language,60,Chumburu,2,GH,cum,Chumburung,1
1,language,61,Noingo,2,GH,ga,Gã,1
1,language,62,Krobo,2,GH,ga,Gã,1
1,language,63,Ada,2,GH,ga,Gã,1
1,language,64,Waale,2,GH,dga,Dagaare,1
1,language,65,Nabi,2,GH,grn,Gurenne,1
1,language,66,Mamprulni,2,GH,mmp,Mampruli,1
1,language,67,Zabagle,2,GH,,,
1,language,68,Gonja,2,GH,cum,Chumburung,1
1,language,68,Gonja,2,GH,nkn,Nkonya,1
1,language,69,Efutu,2,GH,cum,Chumburung,1
1,language,69,Efutu,2,GH,nkn,Nkonya,1
1,language,70,Senya,2,GH,cum,Chumburung,1
1,language,70,Senya,2,GH,nkn,Nkonya,1
1,language,71,Grusi,2,GH,kby,Kabiyé,1
1,language,71,Grusi,2,GH,kow,Ko (Winye),1
1,language,71,Grusi,2,GH,lye,Lyele,1
1,language,71,Grusi,2,GH,nnn,Nuni (Northern),1
1,language,71,Grusi,2,GH,ssa,Sisaala,1
1,language,71,Grusi,2,GH,tem,Tem,1
1,language,71,Grusi,2,GH,tmp,Tampulma,1
1,language,71,Grusi,2,GH,vag,Vagla,1
1,language,71,Grusi,2,GH,xsm,Kàsim,1
1,language,72,Wangara,2,GH,,,
1,language,73,Dagomba,2,GH,dgb,Dagbani,1
1,language,74,Buam/Lelemi,2,GH,llm,Lelemi,1
1,language,75,Nsahas,2,GH,,,
1,language,76,Brong,2,GH,akn,Akan,1
1,language,77,Basari,2,GH,ncm,Ncàm,1
1,language,78,Kanjaga,2,GH,buy,Buli (in Ghana),1
1,language,80,Sefwi/Sehwi,2,GH,anu,Anufo,1
1,language,80,Sefwi/Sehwi,2,GH,ayi,Anyi,1
1,language,80,Sefwi/Sehwi,2,GH,ble,Baule,1
1,language,81,Nchunmuru,2,GH,cum,Chumburung,1
1,language,82,Nafaana,2,GH,naf,Nafaanra,1
1,language,83,Nkona,2,GH,nkn,Nkonya,1
1,language,84,Bambara,5,ML,bam,Bambara,1
1,language,85,Fulfulde/Peul,5,ML,fum,Fulfulde (Maasina),1
1,language,86,Senufo,5,ML,nrg,Nanerge,1
1,language,86,Senufo,5,ML,sup,Supyire,1
1,language,87,Soninke,5,ML,snn,Soninke,1
1,language,88,Malinke,5,ML,maw,Maninka (Western),1
1,language,88,Malinke,5,ML,mdk,Mandinka,1
1,language,88,Malinke,5,ML,xas,Xasonga,1
1,language,89,Sonrhai,5,ML,kse,Koyraboro Senni,1
1,language,89,Sonrhai,5,ML,zar,Zarma,1
1,language,90,Dogon,5,ML,dds,Donno So,0
1,language,90,Dogon,5,ML,dts,Toro So,0
1,language,90,Dogon,5,ML,jms,Jamsay,0
1,language,90,Dogon,5,ML,tms,Tommo So,0
1,language,91,Tamasheq,5,ML,tai,Tuareg (Air),1
1,language,91,Tamasheq,5,ML,tsk,Tamashek,1
1,language,92,Bobo,5,ML,kfe,Koromfe,0
1,language,93,Bozo,5,ML,boz,Bozo (Tigemaxo),0
1,language,94,Khasonke,5,ML,xas,Xasonga,1
1,language,95,Arabe,5,ML,ahs,Arabic (Bani-Hassan),1
1,language,96,Maure,5,ML,ahs,Arabic (Bani-Hassan),1
1,language,98,Samoko,5,ML,bbf,Bobo Madaré (Northern),1
1,language,99,Bella,5,ML,kse,Koyraboro Senni,1
1,language,100,Mianka,5,ML,nrg,Nanerge,1
1,language,100,Mianka,5,ML,sup,Supyire,1
1,language,101,Dafing,5,ML,bam,Bambara,1
1,language,101,Dafing,5,ML,dyu,Dyula,1
1,language,101,Dafing,5,ML,mka,Mauka,1
1,language,101,Dafing,5,ML,mnk,Maninka,1
1,language,102,Mossi,5,ML,moo,Mooré,1
1,language,103,Hausa,7,NG,hau,Hausa,1
1,language,104,Yoruba,7,NG,yor,Yoruba,1
1,language,105,Ibo,7,NG,igb,Igbo,1
1,language,106,Tiv,7,NG,tiv,Tiv,1
1,language,107,Ijaw,7,NG,ijo,Ijo (Kolokuma),1
1,language,108,Nupe,7,NG,nup,Nupe,1
1,language,109,Kanuri,7,NG,knr,Kanuri,1
1,language,110,Ibibio-Efik,7,NG,efi,Efik,1
1,language,110,Ibibio-Efik,7,NG,ibi,Ibibio,1
1,language,111,Edo,7,NG,bni,Bini,1
1,language,113,Irobo/Urhobo,7,NG,urh,Urhobo,1
1,language,114,Idoma,7,NG,ido,Idoma,1
