iso_code,wals_code,iso_code_to,distance
aaa,gho,aaa,0
aab,bir,bom,2
aab,fye,pym,2
aab,gwo,kcg,2
aab,jar,izr,2
aab,kgm,kdm,2
aab,mdz,mda,2
aab,tok,yer,2
aac,gog,ggw,1
aad,iwm,iwm,1
aae,alb,aln,2
aaf,mym,mal,1
aag,au,avt,2
aag,nin,niz,2
aag,olo,ong,2
aag,urt,urt,2
aag,wal,van,2
aag,yil,yll,2
aah,aoj,aoj,1
aah,arp,ape,1
aai,gap,pwg,1
aak,ape,apz,1
aak,bry,byr,1
aak,ham,hmt,1
aak,mey,mcr,1
aal,ktk,aal,0
aan,urk,urb,1
aao,abb,shu,1
aao,abe,apc,1
aao,abh,abv,1
aao,aeg,arz,1
aao,ael,ayl,1
aao,ahs,mey,1
aao,ako,acy,1
aao,amr,ary,1
aao,ams,arb,1
aao,anl,apc,1
aao,apa,ajp,1
aao,arg,afb,1
aao,arh,acw,1
aao,arj,afb,1
aao,arl,apc,1
aao,arn,shu,1
aao,arq,acm,1
aao,ars,ayn,1
aao,arv,ajp,1
aao,asy,apc,1
aao,atu,aeb,1
aao,mlt,mlt,1
aap,bki,bkq,2
aap,kkq,kui,2
aap,pnr,pbh,2
aaq,abw,abe,1
aar,qaf,aar,0
aas,agw,wbj,1
aas,brn,bds,1
aas,dah,dal,1
aas,gor,gow,1
aas,irq,irk,1
aat,alb,aln,2
aau,aba,aau,0
aaw,kau,pss,3
aax,kmb,tyn,1
aax,wbn,wms,1
aaz,tse,aoz,1
aba,abd,abi,1
aba,adi,adj,1
abb,bnk,abb,0
abc,kpm,pam,2
abd,akl,akl,2
abd,bat,bya,2
abd,bgz,bdg,2
abd,bkd,bkd,2
abd,bkl,bcl,2
abd,ceb,ceb,2
abd,grt,gor,2
abd,hil,hil,2
abd,hnn,hnn,2
abd,kuz,mbt,2
abd,mgd,mog,2
abd,mgn,mdh,2
abd,mmn,mmn,2
abd,mrn,mrw,2
abd,mwb,mbb,2
abd,tag,tgl,2
abd,tgb,tbw,2
abd,tsg,tsg,2
abd,wwy,war,2
abe,abw,abe,0
abf,beg,dbj,2
abf,tat,txx,2
abg,klq,kmh,1
abg,kob,kpw,1
abh,abb,shu,1
