country,name,iso_639_3,glottocode,wals
CI,abbey,aba,abee1242,abd adi
NG,abi,mis,,
CI,abidji,abi,abid1235,abd
CM,abo,abb,bank1256,bnk
CI,aboure,abu,abur1243,akn anu ayi ble cum nkn
CI,abron,abr,abro1238,akn
NG,abua,abn,abua1244,obg ogb
UG,acholi,ach,acol1236,acl
UG,acholi-langi,ach laj,sout2831,acl lan luo
GH,ada,ada,adan1247,ga
NG,adara,kad,kada1284,bir fye gwo kgm mdz tok
GH,adele,ade,adel1244,llm
TG,adele,ade,adel1244,llm
BJ,adja,ajg,ajab1235,ajg
TG,adja,ajg,ajab1235,ajg
CI,adjoukrou,adj,adio1239,adi
NG,adun,mfn,adun1238,agb
NG,afikpo,ibo,nucl1417,igb
NG,afizere,izr,izer1241,gwo
BW,afrikaans,afr,afri1274,afr
NA,afrikaans,afr,afri1274,afr
ZA,afrikaans,afr,afri1274,afr
NA,afrikaans and local languages,afr,afri1274,afr
NA,afrikaans and oshiwambo,afr,afri1274,afr
NG,agbor,ikk,ikaa1238,igb izi
CM,aghem,agq,aghe1239,agh
CI,agni,any,anyi1245,ayi
CI,agny,any,anyi1245,ayi
GH,ahanta,aha,ahan1243,anu ayi ble
CI,ahizi,ahi ahm ahp,aizi1248,bet ddj grb gue kla ney vat wob
NG,ahoada,mis,,
NG,ahuda,mis,,
MZ,ajaua,yao,yaoo1241,yao
MZ,ajua,yao,yaoo1241,yao
KE,ajuran,mis,,
NG,aka,mis,,
GH,akan,aka,akan1250,akn
UG,akaramojonj,kdj,kara1483,kmj
NG,akassa,ijs,sout2774,ijo
TG,akebou,keu,akeb1238,avt kpo
TG,akébou,keu,akeb1238,avt kpo
TG,aklobo,ewe,ewee1241,ewa
CM,akosse,mis,,
TG,akposso,kpo,ikpo1238,kpo
NG,akumazi,ikk,ikaa1238,igb izi
UG,akumu,mis,,
UG,akur,alz,alur1250,luo
NG,akwandara,gwn,gwan1268,hau
GH,akyode,acd,giky1238,cum
NG,alago,ala,alag1242,ido
DZ,algerian arabic,arq,alge1239,atu
DZ,arabic,arq,alge1239,atu
MA,alhassania,mey,hass1238,ahs
CI,alladjan,mis,,
UG,alur,alz,alur1250,luo
MA,amazigh,tzm zgh,cent2194,bse
DZ,amazigh,kab,kaby1243,kbl
CM,ambele,ael,ambe1247,agh bab baf bmn fef kou lns mbi mbz mgk mkq mud oku yba yem
CM,ambo-batibo,mis,,
NG,amoh,amo,amoo1242,amo
TG,ana,ife,ifee1241,yor
TG,anago,mis,,
NG,anam,mis,,
NG,anang,anw,anaa1238,efi ibi
CI,andoh,mis,,
NG,andoni,ann,obol1243,obo
NG,angas,anc,ngas1240,anc
NA,angolan:portuguese,por,port1283,por
NA,angolan:rumbundu,umb,umbu1257,umb
ST,angolan,aoa,ango1258,ago
ST,angolar,aoa,ango1258,ago
ST,angulares,aoa,ango1258,ago
ST,creolo,aoa,ango1258,ago
NG,ankwai,ank,goem1240,goe
NG,ankwe,ank,goem1240,goe
NG,annag,mis,,
TG,anyanga,ayg,giny1241,cum
GH,anyinam,any,anyi1245,ayi
CI,appolo,nzi,nzim1238,anu ayi ble
KE,arab,acx,oman1239,abh arh arj ars
CM,arabe,shu,chad1249,arn
ML,arabe,mey,hass1238,ahs
NE,arabe,mey,hass1238,ahs
CM,arabe choa,shu,chad1249,arn
EG,arabic,arz,egyp1253,aeg
EG,egyptian arabic,arz,egyp1253,aeg
ML,arabic,mey,hass1238,ahs
MA,arabic,ary,moro1292,amr
KE,arabic,acx,oman1239,abh arh arj ars
SD,arabic,apd,suda1236,abb
SD,sudanese arabic,apd,suda1236,abb
TN,arabic,aeb,tuni1259,atu
NG,arago,ala,alag1242,ido
UG,aringa,luc,arin1244,avo lgt lug
TG,ashanti,mis,,
CM,ashem,mis,,
KE,asian south,guj,guja1252,guj
ZA,asian,hin,hind1269,hin
ZA,asian/indian,hin,hind1269,hin
ZA,asian/other,hin,hind1269,hin
GH,assin,mis,,
CM,asumb0,ass,ipul1238,tiv
UG,ateso,teo,teso1249,tes
NG,attakar,kcg,tyap1238,gwo
CI,attié,ati,atti1239,abd adi akn ald anu avk ayi ble cum nkn
GH,atweti,mis,,
NG,auche,mis,,
NG,auchi,ets,yekh1238,ets
NG,aukwe,afo,eloy1241,bir fye gwo kgm mdz tok
ZM,aushi,auh,aush1241,lmb
GH,avatime,avn,avat1244,avt
CI,avikam,avi,avik1243,avk
NG,awa,mis,,
NG,awak,awo,awak1250,bmb brb buy dga dgb grm grn kby kfe kir kkb kni kow lob lye mmp moo ncm nnn ntn ssa tem tmp vag wwa xsm
NG,awori,yor,yoru1245,yor
GH,awutu,afu,awut1241,cum nkn
GH,ayigbe,mis,,
NG,azoqo,mis,,
CM,babadjon,mis,,
CM,babadjou,nla,ngom1271,fef yem
CM,babanjou,mis,,
CM,babis,mis,,
CM,babjoun,bbj,ghom1247,fef yem
CM,baboute,vut,vute1244,mla
CM,babungo,bav,veng1238,bab
NG,babur,bwr,bura1292,bpa
NG,bachama,bcy,baca1246,gud
CM,bachiotia,mis,,
CI,bacoue,mis,,
NG,bada,bde,bade1248,bad
CM,badenkop,mis,,
SN,badiaranke,mis,,
CM,badjoue,ozm,koon1245,mkz
NG,badukke,mis,,
CM,bafang,fmp,fefe1239,fef
CM,bafanji,bfj,bafa1249,bmn
CM,bafaw,bwt,bafa1247,bas bfi bga bku bnk buj buw dua ewo ldo mkz mpo tgo
CM,bafia,ksf,bafi1243,bfi
CM,bafmen,bfm,mmen1238,kou oku
CM,bafo,bwt,bafa1247,bas bfi bga bku bnk buj buw dua ewo ldo mkz mpo tgo
CM,bafounda,mis,,
CM,bafoussam,mis,,
CM,bafut,bfd,bafu1246,baf
GN,baga,bcg bmd bsp ldm,temn1245,bgs tne
CM,bagangte,byv,medu1238,fef yem
TG,bago,bqg,bago1245,tem
UG,bagungu,rub,gung1250,buk gus hnd hya kin lda luy nbo nde nko rnd rny rru tal
NG,bagwom,mis,,
CM,baham,bbj,ghom1250,fef yem
CM,baham/bafoussam,bbj,ghom1250,fef yem
NG,bahumono,bcs,kohu1244,koh
SN,bainouk,bcb bcz,bain1261,bfd bsr fbf fgo fgu fma fni fum kgi ndt noo plr wlf
NG,bajju,kaj,jjuu1238,gwo
NG,baju,kaj,jjuu1238,gwo
KE,bajun,swh,baju1245,swa
KE,bajuni,swh,baju1245,swa
NG,bakamuka,mis,,
CM,bakassi,mis,,
UG,bakenyi,lke,keny1278,lda
CM,bakoko,bkh,bako1249,bas
CM,bakosi,bss,akoo1248,bas bfi bga bku bnk buj buw dua ewo ldo mkz mpo tgo
CM,bakossi,bss,akoo1248,bas bfi bga bku bnk buj buw dua ewo ldo mkz mpo tgo
CI,bakoue,mis,,
CM,bakundu,bdu,orok1266,ldo
CM,bakwari,bri,mokp1239,bku
CI,bakwe,bjw,bakw1243,bet ddj ney vat
CM,bakwere,bri,mokp1239,bku
CM,bakweri,bri,mokp1239,bku
SN,balante,bjt,bala1302,blz
CM,balati,mis,,
NG,balawa,mis,,
CM,balcweri,mis,,
CM,baleng,mis,,
CM,balengou,mis,,
CM,bali,mhk,mung1266,mgk
CM,bali nyonga,mhk,mung1266,mgk
CM,balikumbat,bqt,bamu1254,baf mbi mkq
CM,balinyongya,mhk,mung1266,mgk
CM,balong,bwt,bafa1247,bas bfi bga bku bnk buj buw dua ewo ldo mkz mpo tgo
CM,baloundo,mis,,
UG,baluya,lsm,luyi1234,buk luy
SN,bamabara,bam,bamb1269,bam
CI,bambara,bam,bamb1269,bam
ML,bambara,bam,bamb1269,bam
SN,bambara,bam,bamb1269,bam
CM,bambele,bag,tuki1240,tki
CM,bambili,baw,bamb1266,mbi
CM,bamedjou,mis,,
CM,bameka,bbj,ghom1247,fef yem
CM,bamenda,mfd,mend1261,baf mbi mkq
CM,bamendjing,xmg,meng1264,fef yem
CM,bamendjou,mis,,
CM,bamessing,ndb,kens1251,bab
CM,bamileke,bbj bko byv fmp jgo nla nnh nnz nwe xmg ybb,bami1239,fef yem
CM,bamougoum,mis,,
CM,bamoun,bax,bamu1253,bmn
CM,bamumbu,mnf,mund1327,mud
NG,banbawa,bcv,shoo1247,juk
GH,banda,nfr,nafa1258,naf
NG,bandawa,bcv,shoo1247,juk
CM,bandjoun,bbj,ghom1247,fef yem
CM,banen,tvu,tune1261,gun tki
CM,bangangté,byv,medu1238,fef yem
CM,bangou,mis,,
CM,bangwa,nge nnz,mbam1249,baf bmn fef mbi mbz mgk mkq yba yem
CM,banossi,mis,,
CM,banso,lns,lamn1239,lns
CM,banvele,mis,,
CI,baoulé,bci,baou1238,ble
CM,bapa,bbw,baba1264,mgk
CM,bapoukou,mis,,
NA,barakwena,xuu,kxoe1243,kxo
BJ,bariba,bba,baat1238,brb
NG,baruba,mis,,
NG,basange,mis,,
GH,basare,bud,ntch1242,ncm
GH,basari,bud,ntch1242,ncm
NG,bassa,bzw,basa1282,duk
CM,bassa,bas,basa1284,bas
LR,bassa,bsq,nucl1418,kla
GN,bassano foula,fuf,pula1262,fgu
GN,poular,fuf,pula1262,fgu
TG,bassar,bud,ntch1242,ncm
SN,bassari,bsc,bass1258,bsr
GH,basseli,bud,ntch1242,ncm
CM,basso,nla,ngom1271,fef yem
CM,bata,bta,bata1314,gud
CM,batanga,bnm,bata1285,bga
CM,batcham,nnh,ngie1241,fef yem
CM,batibo,mgo,meta1238,mud
CM,batie,bbj,ghom1247,fef yem
GH,batoe,ewe,ewee1241,ewa
CM,batomow,mis,,
CM,baton,mis,,
GH,battor,mis,,
NG,bawaje,mis,,
CM,bawan,mis,,
NG,bawara,mis,,
CM,baya,gya,nort2775,gbk
NG,bayam,gya,nort2775,gbk
CM,bayangam,ken,keny1279,kyg
CM,bayangi,ken,keny1279,kyg
SN,bayotte,bda,bayo1255,csk dio
NG,bazanfara,mis,,
CM,befang,bby,befa1241,agh bab baf bmn fef kou lns mbi mbz mgk mkq mud oku yba yem
GN,beka,mis,,
NG,bekwaira,mis,,
