round,variable,type,value,label,country,lang_name,iso_639_3,glottocode,wals,n_resp,prop
1,language,respondent,1,Afrikaans,BW,afrikaans,afr,afri1274,afr,1,8.333333333333334e-4
1,language,respondent,2,Chewa,BW,chewa,nya,chew1246,cic,2,0.0016666666666666668
1,language,respondent,5,Damara,BW,damara,naq,dama1270,kho,4,0.0033333333333333335
1,language,respondent,6,English,BW,english,eng,stan1293,eng,16,0.013333333333333334
1,language,respondent,7,German,BW,german,deu,stan1295,ger,1,8.333333333333334e-4
1,language,respondent,9,Ndebele,BW,ndebele,nde,nort2795,swt xho zul,1,8.333333333333334e-4
1,language,respondent,11,Otjiherero,BW,otjiherero,her,here1253,her,1,8.333333333333334e-4
1,language,respondent,14,"Sesotho,Sotho, S.Sotho",BW,"sesotho,sotho, s.sotho",sot,sout2807,ses,2,0.0016666666666666668
1,language,respondent,15,Setswana/Tswana,BW,setswana/tswana,tsn,tswa1253,tsw,1154,0.9616666666666667
1,language,respondent,16,Silozi,BW,silozi,loz,lozi1239,loz,4,0.0033333333333333335
1,language,respondent,18,Shona,BW,shona,sna,shon1251,shn,2,0.0016666666666666668
1,language,respondent,23,Zulu,BW,zulu,zul,zulu1248,zul,1,8.333333333333334e-4
1,language,respondent,995,Other,BW,other,und,,,2,0.0016666666666666668
1,language,respondent,999,Missing data,BW,missing data,und,,,9,0.0075
1,language,respondent,41,Akan,GH,akan,aka,akan1250,akn,1196,0.5965907928758756
1,language,respondent,42,Dangaare,GH,dangaare,dga,sout2789,dga,28,0.014107666051554668
1,language,respondent,43,Dagbane,GH,dagbane,dag,dagb1246,dgb,48,0.023824739475373818
1,language,respondent,44,Ewe,GH,ewe,ewe,ewee1241,ewe,234,0.11462634565103844
1,language,respondent,45,Ga,GH,ga,gaa,gaaa1244,ga,117,0.0590462621095498
1,language,respondent,46,Hausa,GH,hausa,hau,haus1257,hau,40,0.0201974245115896
1,language,respondent,47,Frafra,GH,frafra,gur,fraf1238,grn,45,0.02274118451713708
1,language,respondent,48,Nzema,GH,nzema,nzi,nzim1238,anu ayi ble,14,0.00693934137618464
1,language,respondent,50,Dangbe,GH,dangbe,ada,adan1247,ga,28,0.01403133828515954
1,language,respondent,51,Wassa,GH,wassa,wss,wasa1244,akn,16,0.008170563124309995
1,language,respondent,52,Ahanta,GH,ahanta,aha,ahan1243,anu ayi ble,13,0.0064000582685170915
1,language,respondent,53,Guan,GH,guan,gwx,guaa1238,nkn,10,0.0048585367119095765
1,language,respondent,54,Kasem,GH,kasem,xsm,kase1253,xsm,23,0.011792889345192573
1,language,respondent,55,Kusasi,GH,kusasi,kus,kusa1250,dgb mmp,3,0.0015415215566075152
1,language,respondent,56,Moar,GH,moar,bim,bimo1239,bmb,11,0.005168836520391736
1,language,respondent,57,Bimoba,GH,bimoba,bim,bimo1239,bmb,8,0.004008953795759868
1,language,respondent,58,Konkomba,GH,konkomba,xon,konk1269,kkb,20,0.010556678854165575
1,language,respondent,59,Chekosi,GH,chekosi,cko,anuf1239,anu,1,4.6295534127241883e-4
1,language,respondent,60,Chumburu,GH,chumburu,ncu,chum1261,cum,2,0.001002238448939967
1,language,respondent,61,Noingo,GH,noingo,ada,ning1270,ga,1,5.392831076675482e-4
1,language,respondent,62,Krobo,GH,krobo,ada,krob1243,ga,14,0.00701566914257977
1,language,respondent,63,Ada,GH,ada,ada,adaa1238,ga,1,4.6295534127241883e-4
1,language,respondent,64,Waale,GH,waale,wlx,wali1263,dga,12,0.006013430693639802
1,language,respondent,65,Nabi,GH,nabi,gur,fare1241,grn,1,4.6295534127241883e-4
1,language,respondent,66,Mamprulni,GH,mamprulni,maw,mamp1244,mmp,15,0.007554952250247317
1,language,respondent,67,Zabagle,GH,zabagle,bud,ntch1242,ncm,2,0.001002238448939967
1,language,respondent,68,Gonja,GH,gonja,gjn,gonj1241,cum nkn,17,0.008557190699187284
1,language,respondent,69,Efutu,GH,efutu,afu,efut1241,cum nkn,10,0.005240175543885223
1,language,respondent,70,Senya,GH,senya,afu,seny1238,cum nkn,3,0.0015415215566075152
1,language,respondent,71,Grusi,GH,grusi,cll kdh mzw ntr sig sil ssl tpm vag xsm,grus1239,xsm,1,5.392831076675482e-4
1,language,respondent,72,Wangara,GH,wangara,bib,biss1248,bis,2,0.001002238448939967
1,language,respondent,73,Dagomba,GH,dagomba,dag,dagb1246,dgb,2,0.001002238448939967
1,language,respondent,74,Buam/Lelemi,GH,buam/lelemi,lef,lele1264,llm,17,0.008175551867211639
1,language,respondent,75,Nsahas,GH,nsahas,aka,akan1250,akn,1,4.6295534127241883e-4
1,language,respondent,76,Brong,GH,brong,abr,abro1238,akn,3,0.0016178493230026446
1,language,respondent,77,Basari,GH,basari,bud,ntch1242,ncm,1,4.6295534127241883e-4
1,language,respondent,78,Kanjaga,GH,kanjaga,bwu,buli1254,buy,1,4.6295534127241883e-4
1,language,respondent,80,Sefwi/Sehwi,GH,sefwi/sehwi,sfw,sehw1238,anu ayi ble,18,0.009096473806854834
1,language,respondent,81,Nchunmuru,GH,nchunmuru,ncu,chum1261,cum,1,4.6295534127241883e-4
1,language,respondent,82,Nafaana,GH,nafaana,nfr,nafa1258,naf,9,0.004548236903427417
1,language,respondent,83,Nkona,GH,nkona,nko,nkon1245,nkn,2,0.0010785662153350963
1,language,respondent,995,Other,GH,other,und,,,7,0.003545998454487449
1,language,respondent,999,Missing data,GH,missing data,und,,,6,0.0030830431132150304
1,language,respondent,6,English,LS,english,eng,stan1293,eng,3,0.002548853016142736
1,language,respondent,9,Ndebele,LS,ndebele,nbl,sout2808,ndb,2,0.0016992353440951572
1,language,respondent,14,"Sesotho,Sotho, S.Sotho",LS,"sesotho,sotho, s.sotho",sot,sout2807,ses,1162,0.9872557349192863
1,language,respondent,22,Xhosa,LS,xhosa,xho,xhos1239,xho,8,0.006796941376380629
1,language,respondent,995,Other,LS,other,und,,,1,8.496176720475786e-4
1,language,respondent,999,Missing data,LS,missing data,und,,,1,8.496176720475786e-4
1,language,respondent,84,Bambara,ML,bambara,bam,bamb1269,bam,1011,0.5066762790518382
1,language,respondent,85,Fulfulde/Peul,ML,fulfulde/peul,ffm,maas1239,fum,160,0.08005197914518537
1,language,respondent,86,Senufo,ML,senufo,myk shz spp,nort3254,nrg sup,75,0.037707567026711054
1,language,respondent,87,Soninke,ML,soninke,snk,soni1259,snn,125,0.06546615984577359
1,language,respondent,88,Malinke,ML,malinke,mlq mwk,west2499,maw mdk,91,0.04725322900301239
1,language,respondent,89,Sonrhai,ML,sonrhai,hmb khq ses,song1307,kch kse,164,0.08385047188456846
1,language,respondent,90,Dogon,ML,dogon,aqd dti dbw dbt dbu dgb dbg dds djm dmb nnz dtu dtk tde dto dtm dts dtt dym,dogo1299,dds dds dts jms tms,127,0.061843933697343874
1,language,respondent,91,Tamasheq,ML,tamasheq,taq ttq,tuar1240,tai tsk,125,0.013402622303623997
1,language,respondent,92,Bobo,ML,bobo,bmq,bomu1247,kfe,63,0.03176131052463279
1,language,respondent,93,Bozo,ML,bozo,boz bze boo bzx,bozo1252,boz,25,0.012265644967698866
1,language,respondent,94,Khasonke,ML,khasonke,kao,xaas1235,xas,15,0.007902139559448865
1,language,respondent,95,Arabe,ML,arabe,mey,hass1238,ahs,8,0.0012733737138777247
1,language,respondent,96,Maure,ML,maure,mey,hass1238,ahs,9,0.004710964549930547
1,language,respondent,98,Samoko,ML,samoko,dux,duun1242,bbf,6,0.0030134806875421363
1,language,respondent,99,Bella,ML,bella,taq,tuar1240,tai tsk,1,4.8607857369136934e-4
1,language,respondent,100,Mianka,ML,mianka,myk,mama1271,nrg sup,73,0.036836422866591084
1,language,respondent,101,Dafing,ML,dafing,rkm,mark1256,bam dyu mka mnk,7,0.0034754327429987906
1,language,respondent,102,Mossi,ML,mossi,mos,moss1236,moo,4,0.0020229098555309055
1,language,respondent,2,Chewa,MW,chewa,nya,chew1246,cic,843,0.6978476821192053
1,language,respondent,3,Chinyungwe,MW,chinyungwe,nyu,nyun1248,sen,2,0.0016556291390728477
1,language,respondent,4,Chisena,MW,chisena,swk,mala1475,sen,44,0.03642384105960265
1,language,respondent,6,English,MW,english,eng,stan1293,eng,12,0.009933774834437087
1,language,respondent,30,Nyanja,MW,nyanja,nya,nucl1395,cic,43,0.03559602649006623
1,language,respondent,31,Tonga,MW,tonga,tog,tong1321,cic sen,30,0.024834437086092714
1,language,respondent,32,Ngoni,MW,ngoni,nya,ngon1270,cic,12,0.009933774834437087
1,language,respondent,33,Lomwe,MW,lomwe,lon,mala1256,mua,17,0.014072847682119206
1,language,respondent,34,Tumbuka,MW,tumbuka,tum,tumb1250,cic sen,114,0.09437086092715231
1,language,respondent,35,Yao,MW,yao,yao,yaoo1241,yao,62,0.05132450331125828
1,language,respondent,37,Nkhonde,MW,nkhonde,nyy,nkon1246,mmw nyh,2,0.0016556291390728477
1,language,respondent,38,Lambya,MW,lambya,lai,lamb1272,nyh,10,0.008278145695364239
1,language,respondent,995,Other,MW,other,und,,,15,0.012417218543046357
1,language,respondent,998,Refused to answer,MW,refused to answer,und,,,1,8.278145695364238e-4
1,language,respondent,999,Missing data,MW,missing data,und,,,1,8.278145695364238e-4
1,language,respondent,1,Afrikaans,NA,afrikaans,afr,afri1274,afr,129,0.10904480135249366
