populationPercent,iso_639_3,Ref_Name,language,iso_alpha2,round,checked,comment
33,amh,Amharic,am,ET,5,1,I can't find any non-missing values for Ethiopia
32,orm,Oromo,om,ET,5,1,I can't find any non-missing values for Ethiopia
27,bho,Bhojpuri,bho,MU,6,1,In some round Bhojpuri appears
21,ndo,Ndonga,ng,NA,4,1,Instead the closely related Oshiwambo (kua) appears
21,ndo,Ndonga,ng,NA,3,1,
21,ndo,Ndonga,ng,NA,2,1,
21,pcm,Nigerian Pidgin,pcm,NG,1,1,No mention of English or Pidgin
21,ndo,Ndonga,ng,NA,1,1,
14,zul,Zulu,zu,LS,6,1,"Lesotho only includes English, Xhosa, Sesotho, and Phuthi in most rounsd"
14,zul,Zulu,zu,LS,5,1,
14,zul,Zulu,zu,LS,4,1,
14,zul,Zulu,zu,LS,3,1,
14,zul,Zulu,zu,LS,2,1,
14,zul,Zulu,zu,LS,1,1,
8.7,shi,Tachelhit,shi,MA,5,1,"No. Includes French, Arabic, Tamazgitht, Amazigh, and Hassaniya."
8.7,shi,Tachelhit,shi,MA,5,1,
6.8,zul,Zulu,zu,SZ,6,1,"No. SZ includes English, Swati, and Shangaan."
6.8,ngl,Lomwe,ngl,MZ,3,1,Nothing seems to match.
6.8,ngl,Lomwe,ngl,MZ,2,1,
6.7,fuv,Nigerian Fulfulde,fuv,NG,6,1,There doesn't appear to be Fulfulde options for Nigeria. Fulani appears.
6.7,fuv,Nigerian Fulfulde,fuv,NG,5,1,
6.7,fuv,Nigerian Fulfulde,fuv,NG,4,1,
6.7,fuv,Nigerian Fulfulde,fuv,NG,3,1,
6.7,fuv,Nigerian Fulfulde,fuv,NG,1,1,
6.7,fuv,Nigerian Fulfulde,fuv,NG,2,1,
6.5,mxc,Manyika,mxc,ZW,4,1,"Limited languages in the first few rounds: Shona, Nbedele, Kalanga, Nambya, Tonga"
6.5,mxc,Manyika,mxc,ZW,3,1,
6.5,mxc,Manyika,mxc,ZW,2,1,
6.5,mxc,Manyika,mxc,ZW,1,1,
6.1,ndc,Ndau,ndc,ZW,4,1,"Limited languages in the first few rounds: Shona, Nbedele, Kalanga, Nambya, Tonga"
6.1,ndc,Ndau,ndc,ZW,3,1,
6.1,ndc,Ndau,ndc,ZW,2,1,
6.1,ndc,Ndau,ndc,ZW,1,1,
6,tir,Tigrinya,ti,ET,5,1,
6,som,Somali,so,ET,5,1,
5.4,bej,Beja,bej,SD,5,1,"Only Arabic, English, and Nubian languages are options"
5.4,bej,Beja,bej,SD,6,1,
5.3,kck,Kalanga,kck,ZW,2,1,"Limited languages in the first few rounds: Shona, Nbedele, Kalanga, Nambya, Tonga"
5.3,kck,Kalanga,kck,ZW,1,1,
5.2,urd,Urdu,ur,MU,5,1,
5.2,urd,Urdu,ur,MU,6,1,
5,nqo,N'Ko,nqo,GN,6,1,"This is a mixture of Mande languages. ""No ethnic community"" according to the Ethnologue."
5,abr,Abron,abr,GH,6,1,Abron is closely related to Akan. Probably included in that.
5,nqo,N'Ko,nqo,GN,5,1,
5,abr,Abron,abr,GH,4,1,
5,abr,Abron,abr,GH,5,1,
5,abr,Abron,abr,GH,2,1,
5,abr,Abron,abr,GH,3,1,
4.9,rif,Tarifit,rif,MA,5,1,
4.9,rif,Tarifit,rif,MA,5,1,
3.5,sid,Sidamo,sid,ET,5,1,No ET found
3.5,gur,Farefare,gur,GH,2,1,Not included. The closely related Dagbani is included instead
3.5,gur,Farefare,gur,GH,3,1,
3.4,rng,Ronga,rng,MZ,6,1,
3.4,rng,Ronga,rng,MZ,3,1,
3,ada,Adangme,ada,GH,2,1,Not included in this round.
